target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__1	u31	3	2
__4	P94	2	2
__K	F3K	2	2
_$4	PA4	3	3
_$5	PO5	1	1
_$6	EA6	3	3
_$7	SO7	4	2
_$8	bO8	1	1
_$Y	KzY	2	1
_0	Jk	7	7
_04	$Z4	3	2
_0Y	RPY	2	2
_0z	$Zz	2	2
_17	L67	4	2
_18	a68	4	4
_25	P$5	2	2
_26	yw6	6	4
_28	b$8	6	2
_2K	l$K	3	2
_2q	b$q	2	2
_2z	Hwz	3	3
_3	Y3	32	18
_34	P54	3	3
_36	N56	7	7
_38	gK8	5	3
_3K	UKK	3	3
_3q	SKq	3	3
_3Y	KqY	2	1
_4	q4	38	38
_41	m71	4	3
_47	L77	4	3
_4O	leY	2	2
_4Y	K8Y	1	1
_54	PK4	1	1
_57	y47	4	4
_5O	p8O	2	2
_66	Re	4	4
_67	Nt1	2	2
_68	at6	5	5
_6O	rrY	2	2
_6Y	toz	2	2
_7	q7	83	51
_71	m81	1	1
_76	S16	7	4
_78	Q88	4	3
_7K	z1K	1	1
_7O	lsY	1	1
_7z	H1z	3	3
_84	P64	3	2
_86	C66	5	5
_87	Le1	2	2
_8K	z6K	2	2
_9	s3	26	19
_91	u51	3	2
_96	y36	7	3
_97	N57	3	3
_98	I58	6	2
_9O	p7O	2	2
_a	mo	10	2
_A	iO	31	3
_a_	Ho_	3	2
_A4	PO4	2	2
_A6	EO6	6	4
_A7	SY7	1	1
_a8	pr8	3	3
_A8	bY8	3	3
_aq	Poq	2	2
_Aq	CYq	2	2
_aY	rcY	2	2
_AY	K_Y	1	1
_az	tlz	2	2
_B	hp	7	7
_B_	Gp_	2	2
_b1	BS1	5	2
_B1	um1	2	2
_b4	OC4	3	3
_B4	zp4	2	2
_b5	WS5	2	1
_B5	Dm5	2	2
_b6	_C6	4	4
_b8	xS8	4	4
_B8	ym8	6	6
_B9	Vp9	2	2
_bK	ESK	2	2
_bY	ELY	2	2
_c	bd	11	2
_C1	pR1	3	2
_C4	OS4	3	3
_C5	WR5	3	3
_C6	_S6	4	4
_C7	kR7	1	1
_C8	xR8	2	2
_cY	oBY	2	2
_d	oo	7	7
_D_	TW_	2	2
_d1	SU1	3	3
_D1	LP1	1	1
_D5	PP5	2	1
_d8	IU8	1	1
_DK	lPK	3	3
_DY	QJY	2	2
_Dz	JWz	2	2
_e	mt	4	1
_E_	Gy_	2	2
_e1	Ns1	2	2
_E1	BN1	3	3
_e6	es6	6	2
_E6	Jy6	7	2
_E7	kN7	2	2
_E8	IN8	4	4
_EK	INK	1	1
_eq	Ptq	3	3
_eY	riY	2	2
_f	ID	12	11
_F	Iz6	4	4
_f_	GD_	3	3
_F_	Gg_	2	2
_f5	PW5	1	1
_F6	Yg6	3	3
_F7	SB7	2	2
_f8	mW8	3	3
_F9	Vg9	2	2
_fK	lWK	3	2
_fY	QMY	2	2
_FY	aIY	2	2
_fz	$Dz	2	2
_g	RB	5	2
_G	g0	16	3
_G_	G0_	2	2
_g1	Cp1	3	3
_G1	BZ1	3	1
_G4	Y04	2	2
_g8	Sp8	3	3
_g9	VB9	1	1
_gK	hpK	1	1
_gq	PBq	2	2
_Gq	W0q	1	1
_GY	RWY	2	2
_h7	kE7	2	2
_h8	bE8	2	2
_HK	l2K	3	2
_hq	WLq	2	2
_HY	iAY	2	2
_Hz	Hjz	2	2
_I1	gb1	4	4
_i4	zn4	2	2
_I4	Ox4	3	3
_I7	Vb7	3	2
_i8	ml8	4	4
_I8	xb8	4	4
_iY	rUY	1	1
_IY	ERY	1	1
