target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__z	K_z	2	2
_$1	K$1	3	3
_$4	K$4	3	3
_0Y	K0Y	2	2
_14	K14	2	2
_1z	K1z	2	2
_2_	K2_	2	2
_2Y	K2Y	1	1
_3	K3	52	5
_34	K34	1	1
_3q	K3q	1	1
_3z	K3z	1	1
_41	K41	4	4
_44	K44	1	1
_4Y	K4Y	2	2
_4z	K4z	3	3
_51	K51	2	2
_54	K54	3	2
_57	K57	3	3
_5A	K5A	1	1
_5Y	K5Y	2	2
_75	K75	2	2
_7K	K7K	2	2
_7Y	K7Y	2	2
_7z	K7z	2	2
_8Y	K8Y	2	2
_97	K97	3	1
_9z	K9z	1	1
_A4	KA4	1	1
_a7	Ka7	2	2
_A7	KA7	2	2
_a9	Ka9	2	2
_aY	KaY	2	2
_az	Kaz	2	2
_B_	KB_	2	2
_B4	KB4	2	2
_B7	KB7	2	2
_B8	KB8	4	4
_bq	Kbq	2	2
_Bq	KBq	1	1
_c_	Kc_	2	2
_C1	KC1	3	3
_c5	Kc5	2	1
_C7	KC7	2	2
_c8	Kc8	3	3
_cj	Kcj	1	1
_cY	KcY	2	2
_CY	KCY	2	2
_d1	Kd1	3	3
_d8	Kd8	3	3
_dY	KdY	2	2
_Dz	KDz	2	2
_e1	Ke1	3	3
_E5	KE5	2	2
_e8	Ke8	5	2
_eK	KeK	3	3
_Eq	KEq	1	1
_EY	KEY	2	2
_Ez	KEz	2	2
_f5	Kf5	2	2
_Fw	KFw	2	2
_FY	KFY	3	3
_g4	Kg4	2	2
_g5	Kg5	3	2
_GK	KGK	1	1
_h4	Kh4	2	2
_H4	KH4	3	2
_H5	KH5	3	3
_HY	KHY	2	2
_i5	Ki5	3	2
_I7	KI7	2	2
_i8	Ki8	5	2
_I8	KI8	3	3
_iY	KiY	2	1
_IY	KIY	2	2
_J4	KJ4	2	2
_j5	Kj5	1	1
_J5	KJ5	3	2
_jK	KjK	3	2
_jY	KjY	2	2
_JY	KJY	3	2
_Jz	KJz	2	2
_K1	KK1	4	4
_k5	Kk5	3	3
_KA	KKA	2	2
_kY	KkY	2	2
_KY	KKY	2	2
_Kz	KKz	3	3
_l_	Kl_	1	1
_l5	Kl5	1	1
_L5	KL5	3	2
_l8	Kl8	3	3
_LK	KLK	3	3
_lY	KlY	2	1
_LY	KLY	2	2
_m_	Km_	2	2
_m4	Km4	2	2
_m5	Km5	3	2
_M7	KM7	1	1
_m8	Km8	4	4
_MA	KMA	2	2
_MY	KMY	3	3
_n_	Kn_	2	2
_n1	Kn1	2	2
_n5	Kn5	2	2
_N5	KN5	1	1
_N7	KN7	1	1
_N8	KN8	3	1
_nK	KnK	2	2
_NK	KNK	2	2
_nY	KnY	2	2
_NY	KNY	2	2
_O7	KO7	2	2
_o9	Ko9	2	2
_oz	Koz	1	1
_p1	Kp1	2	2
_P4	KP4	3	2
_p7	Kp7	2	2
_p8	Kp8	4	4
_PY	KPY	3	3
_q_	Kq_	2	2
_Q_	KQ_	2	2
_q1	Kq1	4	4
_Q1	KQ1	4	3
_qY	KqY	2	2
_qz	Kqz	2	2
_R_	KR_	3	2
_r8	Kr8	3	3
_R8	KR8	5	4
_s4	Ks4	2	2
_S7	KS7	2	2
_T1	KT1	3	2
_t4	Kt4	2	2
_T4	KT4	4	3
_TK	KTK	3	3
_TY	KTY	2	2
_u_	Ku_	1	1
_u1	Ku1	2	2
_U4	KU4	2	2
_U5	KU5	2	2
_uK	KuK	2	2
_Uq	KUq	2	2
_vK	KvK	3	2
_VK	KVK	2	2
_vY	KvY	2	2
_VY	KVY	2	2
_W4	KW4	2	2
_W7	KW7	3	2
_WY	KWY	2	2
_X7	KX7	3	1
_x8	Kx8	5	4
_XY	KXY	1	1
_Xz	KXz	3	2
_Y1	KY1	1	1
_Y4	KY4	3	2
_y5	Ky5	2	2
_Y7	KY7	2	2
_YA	KYA	1	1
_z1	Kz1	2	2
_z7	Kz7	3	3
_zA	KzA	2	2
_Zq	KZq	2	2
_zY	KzY	2	2
_zz	Kzz	3	3
_Zz	KZz	2	2
$_z	w_z	2	2
$$4	w$4	2	2
$07	w07	3	3
$0Y	w0Y	2	2
$14	w14	2	2
$17	w17	3	3
$1K	w1K	2	2
$1z	w1z	2	2
$2_	w2_	2	2
$2Y	w2Y	2	2
$34	w34	3	2
$3z	w3z	2	2
$41	w41	4	4
$44	w44	2	2
$4A	w4A	2	2
$4Y	w4Y	2	2
$4z	w4z	2	2
$51	w51	2	2
$54	w54	4	2
$5A	w5A	1	1
$75	w75	3	3
$7A	w7A	2	2
$7q	w7q	2	2
$7Y	w7Y	2	2
$7z	w7z	2	2
$8K	w8K	1	1
$9z	w9z	3	3
$a4	wa4	2	2
$A4	wA4	1	1
$A7	wA7	4	2
$a8	wa8	2	2
$aY	waY	1	1
$az	waz	1	1
$B_	wB_	2	2
$B4	wB4	2	2
$Bq	wBq	2	2
$c_	wc_	2	2
$c5	wc5	2	1
$C7	wC7	2	2
$c8	wc8	5	3
$cq	wcq	2	2
$cY	wcY	2	2
$CY	wCY	2	2
$d1	wd1	3	3
$d8	wd8	5	2
$dY	wdY	2	2
$Dz	wDz	2	2
$E7	wE7	4	2
$e8	we8	3	3
$eK	weK	4	2
$f5	wf5	2	2
$F8	wF8	4	4
$fK	wfK	2	1
$Fw	wFw	2	2
$FY	wFY	1	1
$g5	wg5	3	2
$gK	wgK	2	2
$GK	wGK	2	2
$GY	wGY	2	2
$h4	wh4	3	2
$H4	wH4	2	2
$H5	wH5	1	1
$HY	wHY	1	1
$i5	wi5	3	2
$I7	wI7	2	2
$i8	wi8	4	4
$I8	wI8	3	2
$iY	wiY	1	1
$j5	wj5	1	1
$J5	wJ5	1	1
$jK	wjK	2	2
$jY	wjY	1	1
$JY	wJY	2	1
$Jz	wJz	2	2
$K1	wK1	4	4
$k5	wk5	3	3
$k7	wk7	3	2
$K7	wK7	3	3
$KA	wKA	2	2
$kY	wkY	2	2
$KY	wKY	2	2
$Kz	wKz	3	2
$l_	wl_	2	2
$l5	wl5	2	2
$L5	wL5	3	2
$l8	wl8	4	4
$LK	wLK	3	3
$lq	wlq	2	2
$lY	wlY	2	2
$m_	wm_	2	2
$m4	wm4	2	2
$m5	wm5	2	2
$M7	wM7	3	2
$MA	wMA	2	2
$Mq	wMq	3	2
$MY	wMY	2	2
$n_	wn_	1	1
$n1	wn1	1	1
$n5	wn5	1	1
$N5	wN5	1	1
$n8	wn8	4	1
$N8	wN8	3	3
$NK	wNK	2	2
$nY	wnY	1	1
$NY	wNY	2	2
$O4	wO4	2	2
