target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__$	V7$	2	1
__1	k$1	2	2
__4	I8_	1	1
__6	xq6	2	2
__9	K89	2	2
_$5	Vi1	1	1
_$7	paK	2	2
_$8	xt$	4	4
_01	CX1	1	1
_07	bL7	3	3
_08	zW8	3	3
_09	sX9	2	2
_0H	_ZH	5	3
_1$	Z4$	6	3
_16	x76	4	2
_17	FK7	1	1
_18	M_8	1	1
_19	Kq9	2	2
_1H	Z9H	9	2
_2	mL	5	5
_2$	JP$	2	2
_21	yw1	2	2
_29	$D9	2	2
_2H	zLH	8	5
_3	oz	19	9
_3_	J94	3	2
_31	N41	2	2
_38	Of8	1	1
_39	q99	2	2
_3K	o1K	1	1
_4	$_	50	15
_4$	SK$	4	1
_41	IH1	2	2
_44	I$_	3	1
_47	U87	3	2
_49	$$9	3	2
_4A	ve5	2	2
_4H	W7H	8	3
_4K	s8K	2	2
_4q	P6q	2	1
_5_	JK4	3	2
_51	Eq1	2	2
_54	kK_	1	1
_56	u_6	1	1
_57	F77	2	2
_59	KK9	2	2
_6	K6	73	12
_6$	h$$	3	3
_61	Ia9	1	1
_67	ctK	2	2
_6H	E8H	5	5
_6K	$eq	2	2
_7	$7	49	22
_7$	hq$	1	1
_75	Tt1	1	1
_76	x86	1	1
_79	_H9	2	2
_7H	XOH	1	1
_88	Ie$	1	1
_8H	E$H	4	4
_8K	$tq	3	3
_9	t4	38	20
_9$	T_$	5	5
_91	k81	2	2
_96	xK6	3	3
_99	K69	3	3
_9H	W4H	2	2
_9K	eqK	2	2
_a	No	7	6
_A	s5	19	3
_a$	Ci$	4	4
_A1	NK1	2	2
_A4	k7_	1	1
_a6	Pn6	1	1
_A6	p46	1	1
_A7	F_7	2	2
_a8	Fn8	3	3
_A8	Y98	2	2
_a9	Bc9	1	1
_A9	_79	3	2
_AH	T5H	3	3
_aK	plK	1	1
_AK	s_K	3	3
_B$	iu$	1	1
_B1	DI1	3	3
_b4	PE_	2	2
_b6	Jh6	2	2
_B6	jx6	2	2
_b7	hy7	2	2
_BH	omH	1	1
_C	xb	7	7
_c_	Kp4	1	1
_C$	oR$	5	4
_c1	Mm1	2	1
_C1	ZE1	2	2
_c4	Jp_	3	2
_C6	JS6	3	2
_c7	ZB7	2	2
_C8	eS8	1	1
