target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__1	i_1	4	3
__6	h_6	8	3
__7	Az7	4	2
__A	eOA	2	2
_$	w$	15	15
_$1	l$1	3	3
_$4	o$4	1	1
_$6	k$6	7	2
_$8	U$8	3	2
_$A	nXA	1	1
_$K	NHK	3	3
_$Y	tMY	2	2
_0	J0	10	2
_05	tD5	2	2
_0q	t0q	2	2
_0Y	KvY	2	2
_0z	bHz	1	1
_11	r11	3	1
_14	t14	2	2
_16	L16	8	7
_17	M77	1	1
_18	l18	3	3
_1Y	X3Y	2	2
_1z	Kqz	2	2
_2	O2	13	1
_24	a24	2	2
_28	U28	4	4
_2A	nJA	2	2
_2K	yjK	2	1
_3	K3	23	19
_31	i31	2	2
_37	A97	3	3
_38	l38	7	5
_3A	eYA	3	2
_3z	t9z	2	2
_4	$4	2	2
_41	i41	4	4
_44	a44	1	1
_46	N46	9	4
_48	n48	3	3
_4A	n9A	1	1
_4Y	JzY	2	2
_4z	eKz	2	2
_5	W5	25	24
_51	i51	3	3
_57	_37	2	2
_58	d58	3	3
_5A	ezA	3	2
_5Y	pAY	1	1
_5z	t3z	2	2
_6	Y6	299	209
_6_	o8_	2	1
_66	T66	10	5
_68	F68	2	2
_7	A7	71	42
_75	eq5	1	1
_77	Jq7	2	2
_7A	n5A	2	2
_7Y	J9Y	2	2
_7z	K4z	3	2
_8	K8	192	191
_81	r81	2	2
_84	t84	2	2
_86	y86	7	7
_88	h88	2	2
_8Y	X5Y	2	2
_8z	K7z	2	2
_9	O9	31	30
_96	C96	5	5
_97	A_7	1	1
_98	c98	6	4
_9K	NzK	1	1
_A1	iA1	2	2
_a6	Fa6	6	4
_A6	kA6	3	3
_A7	KO7	2	1
_a8	aa8	1	1
_AA	s$A	2	2
_AK	EwK	2	2
_aY	n6A	3	3
_Az	tOz	2	2
_b_	oI_	2	2
_b1	cb1	4	2
_b4	XQ4	1	1
_B4	jh4	1	1
_b5	tI5	3	2
_B5	tF5	2	2
_b6	Bb6	6	6
_b7	zI7	1	1
_B7	zF7	2	1
_b8	Eb8	3	3
_bK	YxK	1	1
_bq	tbq	2	2
_BY	eUY	2	2
_c	Dc	10	10
_c_	Kn_	2	2
_C_	ob_	2	2
_C1	cC1	4	2
_c4	Nn4	2	2
_C4	HU4	1	1
_c8	tc8	2	2
_c9	ol9	2	2
_CK	DIK	1	1
_Cq	tCq	1	1
_d_	Kl_	2	2
_d1	ld1	4	2
_d4	vl4	1	1
_D4	oD4	3	2
_d5	tc5	1	1
_D5	tZ5	2	2
_D6	VD6	4	4
_d7	ed7	2	2
_D7	_Z7	4	3
_d9	oc9	2	2
_dK	_lK	4	3
_Dq	tDq	2	2
_dY	diY	1	1
_DY	KVY	2	2
_E_	oy_	2	2
_e6	Fe6	4	4
_E8	gE8	4	2
_Eq	tEq	3	3
_eY	n7A	2	2
_EY	zSY	2	2
_F	Dp	7	7
_F5	tg5	2	2
_f6	VG6	8	7
_FK	zUK	1	1
_fY	qNY	2	2
_FY	gdY	1	1
_g	Zg	12	3
_G	Mf	18	2
_g4	jb4	1	1
_g5	tU5	2	1
_G5	tT5	3	3
_g6	Fg6	7	2
_G7	zT7	3	3
_G8	gf8	3	3
_gY	gcY	2	2
_GY	eNY	2	2
_h	DR	11	11
_h6	TR6	8	6
_H6	vH6	4	3
_H7	qJ7	4	4
_H8	gH8	4	4
_hK	ZSK	1	1
_HK	kXK	3	2
_i	Zi	8	3
_I	jI	13	2
_i1	$i1	3	3
_I4	JPK	2	2
_I6	II6	7	4
_I7	zx7	3	3
_i8	si8	5	5
_I8	kI8	2	2
_iK	_oK	1	1
_Iq	tIq	2	2
_iY	lsY	2	2
_J	JJ	14	11
_j4	oj4	3	3
_J6	NJ6	9	3
_j7	qH7	1	1
_J7	qX7	2	2
_J8	UJ8	3	2
_jK	kJK	1	1
_JK	kMK	1	1
_jY	tPY	2	2
_JY	e0Y	2	2
_k	fV	5	5
_K1	iK1	1	1
_k5	tk5	2	2
_k6	vV6	5	3
_k8	gV8	5	2
_K8	dK8	4	3
_KA	n_A	2	2
_kY	sLY	2	2
_KY	HYY	2	2
_kz	CDz	2	2
_Kz	e5z	2	2
_l	Gl	10	8
_L	ZL	8	8
_l4	Ni4	2	2
_L4	WB4	1	1
_L6	LL6	7	2
_l9	on9	2	2
_lK	_iK	2	2
_LY	zbY	2	2
_m4	JR4	3	2
_m5	tB5	2	1
_M5	tP5	2	2
_m6	um6	3	3
_m7	zB7	1	1
_M7	eM7	2	1
_M8	gM8	4	4
_MY	KGY	2	2
_n	Gn	6	4
_N	WN	15	1
_N_	rE_	2	2
