target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__4	b94	2	2
__5	f95	2	1
__6	Z16	4	4
__H	U1H	9	2
_$$	bH$	1	1
_$4	be7	3	2
_$5	fe_	2	2
_$7	oeK	2	2
_$H	cHH	2	2
_$q	AHq	3	3
_0_	v2_	2	2
_05	_G5	2	2
_06	PZ6	4	4
_07	t27	2	2
_0H	UZH	2	2
_1$	C9$	4	4
_15	f45	2	2
_16	Z96	2	2
_17	r47	2	2
_18	N98	3	3
_1H	F9H	6	6
_2	q2	11	11
_2_	VL_	2	2
_2$	QW$	5	2
_21	LP1	1	1
_25	_P5	2	2
_26	YW6	3	3
_27	$P7	4	2
_2K	aPK	3	2
_3	$3	32	3
_3$	SY$	5	5
_35	ff5	2	2
_36	WY6	3	3
_44	bK4	1	1
_45	fK5	2	2
_46	Z76	4	3
_48	E78	2	2
_49	TK9	3	3
_4H	d7H	4	1
_4q	_7q	2	2
_5	K5	21	1
_56	G_6	5	3
_58	y_8	3	2
_5H	g_H	5	3
_6	z6	85	77
_6$	R8$	4	4
_64	b$4	1	1
_66	Z86	2	2
_69	T$9	3	2
_6H	c8H	10	2
_7_	Lq_	2	2
_74	bq4	2	2
_75	fq5	1	1
_76	ZK6	3	2
_77	rq7	2	2
_78	yK8	4	4
_7H	cKH	10	6
_7K	rqK	3	2
_7q	AKq	3	3
_8$	b$$	1	1
_86	Z$6	3	2
_8H	d$H	6	6
_8K	rHK	2	2
_8q	A$q	3	2
_9$	S4$	4	3
_91	W71	2	2
_94	b74	2	2
_95	f75	2	2
_96	Z46	3	3
_99	T79	2	2
_9H	U4H	4	4
_a	no	6	6
_a_	Or_	2	2
_a$	lo$	2	2
_A$	S5$	6	4
_a1	Lr1	2	2
_A1	W_1	2	2
_A4	b_4	3	3
_A5	f_5	1	1
_a6	Ao6	2	2
_A6	G56	3	3
_a8	Vo8	2	2
_A8	F58	4	1
_a9	Wr9	1	1
_aH	uoH	4	4
_AH	U5H	5	5
_aK	orK	2	2
_b	oC	9	7
_b_	GS_	2	2
_B_	Wu_	2	2
_b1	JR1	2	2
_b5	XR5	1	1
_b6	MC6	3	3
_b7	HR7	1	1
_B7	su7	2	2
_b8	SC8	2	2
_B8	Ip8	2	2
_b9	GR9	3	2
_B9	Gm9	1	1
_bH	lCH	6	3
_BH	dpH	7	6
_c	sd	8	5
_C	oR	14	4
_C_	GI_	2	2
_c1	JQ1	2	2
_C1	JS1	3	2
_C5	XS5	2	2
_C6	MR6	4	4
_C7	HS7	1	1
_c8	Vd8	1	1
_C9	GS9	3	2
