target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__4	K_4	2	2
__7	K_7	3	1
__A	q_A	2	2
_$4	K$4	3	3
_$A	q$A	2	2
_$q	K$q	1	1
_0K	K0K	2	2
_0Y	q0Y	3	2
_1A	q1A	2	2
_1K	K1K	2	2
_1z	q1z	3	2
_24	K24	2	2
_25	K25	1	1
_2Y	q2Y	2	2
_34	K34	3	2
_37	K37	4	1
_41	K41	1	1
_47	K47	4	3
_67	K67	3	3
_6z	q6z	2	2
_71	K71	4	4
_7A	q7A	2	2
_7z	q7z	2	2
_8A	q8A	1	1
_8z	q8z	2	2
_94	K94	2	2
_97	K97	3	3
_9A	q9A	2	2
_9z	q9z	2	2
_A1	KA1	3	3
_A4	KA4	3	2
_AA	qAA	1	1
_aK	KaK	1	1
_AK	KAK	2	2
_b_	qb_	2	2
_B4	KB4	2	2
_b7	Kb7	2	2
_B8	KB8	4	4
_bz	qbz	2	2
_c_	qc_	2	1
_C_	qC_	2	2
_c1	Kc1	3	2
_C1	KC1	2	2
_c8	Kc8	5	2
_C8	KC8	5	4
_c9	Kc9	3	3
_CK	KCK	3	3
_Cz	qCz	2	2
_d_	qd_	2	2
_d8	Kd8	5	2
_DY	qDY	2	2
_E4	KE4	2	2
_E7	KE7	2	2
_e9	Ke9	2	2
_eK	KeK	2	1
_EK	KEK	3	3
_eY	qeY	2	2
_EY	qEY	2	2
_f1	Kf1	3	3
_f5	Kf5	3	3
_f7	Kf7	3	3
_F8	KF8	4	4
_FK	KFK	2	2
_fY	qfY	2	2
_fz	qfz	2	2
_g5	Kg5	2	2
_G5	KG5	3	3
_g8	Kg8	4	2
_gq	Kgq	1	1
_gY	qgY	2	2
_GY	qGY	2	2
_h_	qh_	2	2
_h1	Kh1	3	3
_h7	Kh7	3	2
_hK	KhK	2	2
_HO	qHO	2	2
_hz	qhz	3	3
_i4	Ki4	2	2
_I4	KI4	3	3
_i8	Ki8	6	3
_I8	KI8	5	2
_Iz	qIz	2	2
_jA	qjA	1	1
_k_	qk_	2	2
_K1	KK1	2	2
_k4	Kk4	2	2
_K7	KK7	3	3
_k8	Kk8	5	2
_kK	KkK	3	2
_kY	qkY	2	2
_kz	qkz	2	2
_l_	ql_	3	3
_L4	KL4	2	2
_l8	Kl8	3	3
_l9	Kl9	2	2
_LY	qLY	1	1
_Lz	qLz	2	2
_m1	Km1	3	1
_M1	KM1	2	2
_M4	KM4	1	1
_m7	Km7	2	2
_m8	Km8	3	3
_MY	qMY	1	1
_Mz	qMz	1	1
_N_	qN_	2	1
_N1	KN1	3	3
_n8	Kn8	5	3
_NK	KNK	3	3
_nY	qnY	1	1
_NY	qNY	1	1
_O4	KO4	2	2
_O5	KO5	1	1
_O7	KO7	3	3
_o8	Ko8	5	2
_p8	Kp8	4	4
_PY	qPY	2	2
_Pz	qPz	3	3
_q1	Kq1	4	4
_Q1	KQ1	3	3
_q4	Kq4	2	2
_Q5	KQ5	3	3
_Q8	KQ8	2	2
_qY	qqY	2	2
_QY	qQY	2	2
_R4	KR4	2	2
_R8	KR8	3	3
_RY	qRY	2	2
_Rz	qRz	2	2
_S_	qS_	2	2
_s4	Ks4	2	2
_S4	KS4	2	2
_s8	Ks8	4	1
_S8	KS8	5	3
_Sj	qSj	1	1
_SK	KSK	1	1
_Sz	qSz	2	2
_T_	qT_	1	1
_T5	KT5	2	2
_TK	KTK	3	2
_TY	qTY	2	2
_Tz	qTz	1	1
_U1	KU1	3	2
_u5	Ku5	3	3
_U5	KU5	2	2
_U8	KU8	4	4
_UY	qUY	2	2
_uz	quz	2	2
_V_	qV_	3	3
_v4	Kv4	3	2
_V4	KV4	2	2
_v5	Kv5	3	2
_V5	KV5	1	1
_v7	Kv7	4	4
_V7	KV7	1	1
_vK	KvK	2	2
_VK	KVK	3	3
_vY	qvY	1	1
_VY	qVY	2	2
_vz	qvz	2	2
_Vz	qVz	2	2
_w2	qw2	1	1
_w4	Kw4	1	1
_wA	qwA	2	2
_Wq	KWq	3	2
_wY	qwY	2	2
_WY	qWY	2	2
_X1	KX1	3	3
_XY	qXY	2	2
_xz	qxz	2	2
_y4	Ky4	2	2
_y7	Ky7	2	2
_y8	Ky8	3	3
_YA	qYA	3	3
_yK	KyK	4	4
_yq	Kyq	2	2
_yY	qyY	2	2
_z_	qz_	2	2
_Z1	KZ1	3	2
_z7	Kz7	2	2
_zA	qzA	1	1
_zq	Kzq	2	2
_ZY	qZY	2	2
$_$	O_$	1	1
$_1	w_1	2	2
$_7	w_7	4	2
$_A	O_A	2	2
$_K	w_K	2	2
$$4	w$4	3	3
$$A	O$A	2	2
$04	w04	2	2
$0K	w0K	1	1
$0Y	O0Y	2	1
$1A	O1A	1	1
$1q	w1q	2	2
$1z	O1z	3	2
$24	w24	2	2
$25	w25	2	2
$2Y	O2Y	2	2
$37	w37	2	2
$3q	w3q	1	1
$41	w41	1	1
$44	w44	4	4
$47	w47	3	2
$57	w57	4	3
$6z	O6z	1	1
$71	w71	2	2
$7A	O7A	1	1
$7z	O7z	2	2
$8A	O8A	1	1
$8K	w8K	2	2
$8z	O8z	2	2
$97	w97	4	3
$9A	O9A	2	2
$9K	w9K	2	2
$9z	O9z	2	2
$A1	wA1	3	3
$A4	wA4	1	1
