target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__5	Y_5	2	2
_$5	Y$5	2	2
_05	Y05	2	2
_15	Y15	2	2
_16	K16	3	3
_17	K17	2	2
_26	K26	4	4
_2K	K2K	2	2
_35	Y35	2	2
_36	K36	3	3
_46	K46	4	4
_75	Y75	2	2
_76	K76	4	2
_8q	K8q	1	1
_95	Y95	2	2
_97	K97	2	2
_A5	YA5	1	1
_a6	Ka6	2	2
_A6	KA6	3	3
_aq	Kaq	3	2
_bK	KbK	1	1
_c_	Yc_	2	2
_c6	Kc6	2	1
_C6	KC6	3	3
_C7	KC7	2	2
_d_	Yd_	2	2
_D5	YD5	2	2
_D7	KD7	2	2
_E5	YE5	1	1
_E7	KE7	2	2
_eK	KeK	2	2
_EK	KEK	3	3
_f5	Yf5	2	2
_g_	Yg_	2	2
_G5	YG5	2	2
_G7	KG7	2	2
_GK	KGK	2	2
_h5	Yh5	2	2
_H5	YH5	1	1
_hK	KhK	2	2
_I5	YI5	1	1
_I7	KI7	1	1
_j5	Yj5	1	1
_k5	Yk5	2	2
_K6	KK6	3	3
_k7	Kk7	2	2
_K7	KK7	2	2
_KK	KKK	2	2
_Kq	KKq	3	3
_l_	Yl_	2	2
_M5	YM5	3	3
_m6	Km6	2	1
_mA	YmA	2	2
_n_	Yn_	3	3
_N5	YN5	3	2
_n6	Kn6	4	2
_N6	KN6	2	1
_NK	KNK	2	1
_O5	YO5	2	2
_o6	Ko6	2	2
_O6	KO6	3	3
_oK	KoK	2	2
_OK	KOK	2	2
_P5	YP5	2	2
_Pq	KPq	3	1
_Q_	YQ_	2	2
_q5	Yq5	2	2
_q7	Kq7	2	2
_qq	Kqq	2	2
_R7	KR7	2	2
_RK	KRK	2	2
_S5	YS5	1	1
_s6	Ks6	2	2
_S7	KS7	2	2
_SK	KSK	3	2
_T5	YT5	2	2
_T7	KT7	1	1
_TK	KTK	2	2
_U_	YU_	1	1
_u6	Ku6	3	3
_u7	Ku7	2	2
_uK	KuK	3	3
_V7	KV7	2	2
_vK	KvK	3	2
_VK	KVK	2	2
_w5	Yw5	2	2
_W5	YW5	2	2
_W6	KW6	3	3
_Wq	KWq	2	2
_X5	YX5	2	2
_Y5	YY5	2	2
_y7	Ky7	2	2
_yK	KyK	2	2
_z5	Yz5	2	2
_Z5	YZ5	1	1
_z6	Kz6	5	4
_Z6	KZ6	3	3
$_5	__5	2	1
$_7	H_7	1	1
$$5	_$5	2	2
$$6	H$6	3	2
$$7	H$7	2	2
$05	_05	2	2
$15	_15	2	2
$16	H16	3	3
$26	H26	2	2
$2K	H2K	1	1
$35	_35	2	2
$3K	H3K	2	2
$45	_45	2	2
$46	H46	4	3
$67	H67	2	2
$75	_75	1	1
$76	H76	3	3
$77	H77	2	2
$8q	H8q	1	1
$95	_95	2	2
$9K	H9K	2	2
$A5	_A5	1	1
$A6	HA6	4	3
$aK	HaK	2	2
$aq	Haq	1	1
$bK	HbK	1	1
$C6	HC6	3	3
$C7	HC7	2	2
$d_	_d_	2	2
$D5	_D5	3	3
$D6	HD6	2	2
$D7	HD7	2	2
$E5	_E5	1	1
$EK	HEK	3	3
$f5	_f5	2	2
$f7	Hf7	2	2
$fq	Hfq	1	1
$g_	_g_	2	2
$G5	_G5	2	2
$G7	HG7	1	1
$h5	_h5	2	2
$H5	_H5	2	2
$H6	HH6	2	2
$H7	HH7	2	2
$hK	HhK	2	2
$I5	_I5	1	1
$i6	Hi6	1	1
$I7	HI7	3	2
$j5	_j5	2	2
$J5	_J5	1	1
$k5	_k5	3	3
$K6	HK6	3	3
$k7	Hk7	2	2
$K7	HK7	3	2
$Kq	HKq	3	2
$l_	_l_	1	1
$L5	_L5	2	2
$L6	HL6	3	3
$M5	_M5	2	2
$m6	Hm6	5	3
$mA	_mA	2	2
$Mq	HMq	2	2
$n_	_n_	1	1
$N5	_N5	2	2
$n6	Hn6	1	1
$N6	HN6	4	2
$N7	HN7	1	1
$NK	HNK	3	3
$O5	_O5	2	2
$o6	Ho6	2	2
$o8	Ho8	3	3
$oK	HoK	2	2
$OK	HOK	2	2
$P5	_P5	2	2
$Q_	_Q_	2	2
$q5	_q5	2	2
$q7	Hq7	1	1
$qq	Hqq	1	1
$R7	HR7	2	2
$S5	_S5	2	2
$s6	Hs6	2	2
$S7	HS7	3	3
$sK	HsK	2	2
$T5	_T5	2	2
$T7	HT7	1	1
$tK	HtK	2	2
$TK	HTK	2	2
$U_	_U_	1	1
$u6	Hu6	2	2
$u7	Hu7	3	2
$uK	HuK	4	2
$V7	HV7	2	2
$vK	HvK	2	2
$VK	HVK	2	2
$w5	_w5	2	2
$W5	_W5	3	3
$W6	HW6	2	2
$X5	_X5	2	2
$Y5	_Y5	1	1
$yK	HyK	3	2
$z5	_z5	2	2
$Z5	_Z5	2	2
$z6	Hz6	2	2
$Z6	HZ6	3	3
a_q	o_q	2	2
A$5	f$5	1	1
A$7	_$7	2	2
a$q	o$q	1	1
A05	f05	1	1
a07	o07	1	1
A16	_16	2	2
a17	o17	2	2
A17	_17	2	2
A26	_26	3	3
a27	o27	1	1
A2K	_2K	3	2
A35	f35	2	2
A36	_36	3	3
a45	e45	1	1
A45	f45	2	2
A46	_46	4	3
a4q	o4q	1	1
a56	o56	1	1
a67	o67	2	2
a6q	o6q	2	2
a7	s7	28	11
a75	e75	1	1
A75	f75	1	1
a76	o76	4	1
A76	_76	4	3
a77	o77	2	2
A77	_77	2	2
a7K	o7K	2	2
A8q	_8q	3	2
a95	e95	2	2
A95	f95	2	2
a96	o96	4	3
A96	_96	3	3
aa_	ea_	1	1
Aa6	_a6	2	2
AA6	_A6	3	3
aa8	oa8	3	3
AaK	_aK	2	2
Aaq	_aq	3	3
ab5	eb5	2	2
Ab5	fb5	2	2
aC5	eC5	2	2
AC5	fC5	2	2
Ac6	_c6	3	2
AC6	_C6	4	4
AC7	_C7	1	1
Ad_	fd_	2	2
aD5	eD5	2	2
AD5	fD5	2	2
AD6	_D6	3	3
aD7	oD7	2	2
AD7	_D7	2	2
ae_	ee_	2	2
Ae_	fe_	2	1
aE5	eE5	2	2
AE5	fE5	1	1
ae8	oe8	3	3
aEK	oEK	3	2
AEK	_EK	3	2
af5	ef5	2	2
Af5	ff5	1	1
af7	of7	2	1
afz	efz	1	1
ag_	eg_	2	2
Ag_	fg_	2	2
aG6	oG6	4	2
AG7	_G7	2	2
agK	ogK	3	3
AGK	_GK	3	3
ah5	eh5	1	1
aH5	eH5	1	1
AH5	fH5	2	2
ah7	oh7	2	2
AH7	_H7	2	2
aHK	oHK	2	2
AhK	_hK	2	2
aI5	eI5	2	2
AI5	fI5	2	2
aI7	oI7	3	2
AI7	_I7	2	2
aj5	ej5	2	2
Aj5	fj5	2	2
aj7	oj7	2	2
ak5	ek5	2	2
aK5	eK5	2	2
aK6	oK6	4	2
AK6	_K6	3	3
ak7	ok7	1	1
Ak7	_k7	2	2
AK7	_K7	2	2
akK	okK	3	3
AKq	_Kq	3	2
aL5	eL5	2	2
al6	ol6	4	4
aL6	oL6	3	3
aM5	eM5	2	2
AM5	fM5	2	2
aM6	oM6	3	3
Am6	_m6	2	2
aM7	oM7	1	1
AmA	fmA	2	2
aMK	oMK	2	2
aN5	eN5	2	2
AN5	fN5	3	2
an6	on6	2	2
An6	_n6	4	2
AN6	_N6	3	2
aNK	oNK	1	1
ANK	_NK	2	1
aO5	eO5	3	2
Ao6	_o6	2	2
AO6	_O6	3	3
aO7	oO7	2	2
AoK	_oK	4	3
AOK	_OK	2	2
aoq	ooq	3	3
AP5	fP5	2	2
ap6	op6	2	2
aP6	oP6	3	2
aPK	oPK	2	2
APq	_Pq	2	1
aQ_	eQ_	3	3
AQ_	fQ_	2	2
aq6	oq6	1	1
aq7	oq7	1	1
Aq7	_q7	2	2
aqq	oqq	3	2
aR5	eR5	2	2
ar6	or6	2	2
aR6	oR6	3	3
aR7	oR7	2	2
AR7	_R7	2	2
ar8	or8	3	3
as_	es_	2	2
As_	fs_	2	2
AS5	fS5	2	2
as6	os6	2	2
aS7	oS7	2	2
AS7	_S7	2	2
AsK	_sK	2	2
ASK	_SK	3	2
at_	et_	2	1
At_	ft_	1	1
AT7	_T7	2	1
atK	otK	2	2
aTK	oTK	2	2
AtK	_tK	2	2
ATK	_TK	2	2
aU_	eU_	2	2
AU_	fU_	2	2
Au5	fu5	1	1
Au6	_u6	4	4
Au7	_u7	2	2
auA	euA	2	2
AuK	_uK	3	3
aUq	oUq	2	2
av7	ov7	2	2
aV7	oV7	2	2
AV7	_V7	2	2
avK	ovK	2	2
AvK	_vK	2	2
AVK	_VK	1	1
aw5	ew5	2	2
Aw5	fw5	2	2
aW6	oW6	1	1
AW6	_W6	3	2
aWK	oWK	3	2
AWq	_Wq	2	2
ax5	ex5	1	1
aX5	eX5	2	2
Ax5	fx5	2	2
AX5	fX5	2	2
ax6	ox6	2	2
ax7	ox7	3	3
axK	oxK	4	2
AXK	_XK	1	1
ay5	ey5	1	1
aY5	eY5	3	3
Ay5	fy5	2	2
AY5	fY5	1	1
ayK	oyK	4	3
AyK	_yK	3	3
az5	ez5	2	2
aZ5	eZ5	2	2
Az6	_z6	3	3
AZ6	_Z6	3	3
aZK	oZK	1	1
AzK	_zK	1	1
azY	ezY	2	2
b$q	C$q	4	2
B$q	p$q	2	2
b05	m05	1	1
B05	g05	1	1
b07	C07	4	4
B07	p07	2	2
B0K	p0K	2	2
b16	C16	3	3
b17	C17	2	2
B17	p17	2	2
b25	m25	1	1
b2K	C2K	1	1
b35	m35	1	1
b3K	C3K	2	2
B3K	p3K	2	2
b4	x4	31	3
B4	F4	30	29
B45	g45	2	2
B4K	p4K	2	2
b55	m55	2	2
b6	C6	118	62
b67	C67	2	2
B67	p67	4	3
B6K	p6K	2	2
b6q	C6q	2	2
b75	m75	2	2
B75	g75	2	2
b76	C76	4	4
B76	p76	1	1
B77	p77	2	2
b86	C86	3	3
B86	p86	3	3
b87	C87	2	2
B95	g95	2	2
B9q	p9q	2	2
ba_	ma_	1	1
Ba_	ga_	1	1
bA5	mA5	3	3
Ba6	pa6	2	2
BA7	pA7	2	2
ba8	Ca8	3	2
baK	CaK	2	2
bb5	mb5	2	2
Bb5	gb5	2	2
bbK	CbK	2	2
BbK	pbK	1	1
bc_	mc_	2	2
bC5	mC5	2	2
BC5	gC5	2	2
bC7	CC7	2	2
BC7	pC7	3	2
Bcq	pcq	2	2
bd_	md_	2	2
Bd_	gd_	2	2
bD5	mD5	3	2
BD5	gD5	2	2
bd6	Cd6	2	2
bDK	CDK	2	1
bDq	CDq	1	1
be_	me_	2	2
Be_	ge_	2	2
BE5	gE5	2	2
Be8	pe8	4	2
beK	CeK	2	2
bEK	CEK	1	1
BEK	pEK	2	2
bF_	mF_	2	2
Bf5	gf5	2	2
bf6	Cf6	3	3
bfK	CfK	2	2
BfK	pfK	2	2
bg_	mg_	2	2
Bg_	gg_	2	2
bG5	mG5	2	2
BG6	pG6	1	1
bGK	CGK	2	2
BgK	pgK	3	3
BGK	pGK	2	2
bH5	mH5	2	2
Bh5	gh5	2	2
BH5	gH5	2	2
bh7	Ch7	3	3
bH7	CH7	2	2
Bh7	ph7	3	3
bhK	ChK	2	2
bI5	mI5	2	2
BI5	gI5	2	2
bI7	CI7	2	2
BI7	pI7	1	1
Biq	piq	4	3
bj5	mj5	2	2
Bj5	gj5	1	1
bj6	Cj6	1	1
Bj6	pj6	3	3
bjK	CjK	3	2
bJK	CJK	2	2
BJK	pJK	3	3
bk5	mk5	1	1
bK5	mK5	2	1
BK5	gK5	2	2
bk6	Ck6	3	3
bK6	CK6	3	3
Bk6	pk6	3	3
BK6	pK6	3	3
bk7	Ck7	2	2
Bk7	pk7	2	2
BK7	pK7	2	2
bkK	CkK	2	2
bKK	CKK	2	2
BkK	pkK	2	2
bL5	mL5	1	1
BL5	gL5	2	2
bl6	Cl6	4	4
bL6	CL6	3	3
Bl6	pl6	4	4
bLY	mLY	1	1
bM5	mM5	2	2
BM5	gM5	2	2
bM6	CM6	2	2
BM6	pM6	3	3
bM7	CM7	1	1
BM7	pM7	2	2
bmz	mmz	2	2
bN5	mN5	3	2
BN5	gN5	3	2
bn6	Cn6	2	2
Bn6	pn6	2	2
bNK	CNK	2	2
BNK	pNK	1	1
bO5	mO5	2	2
BO5	gO5	2	2
bo6	Co6	2	2
Bo6	po6	2	2
BoK	poK	2	2
bP5	mP5	2	1
BP5	gP5	2	2
bP6	CP6	1	1
BP6	pP6	4	2
bPK	CPK	1	1
BPK	pPK	2	2
bQ_	mQ_	2	2
BQ_	gQ_	2	2
Bq6	pq6	2	2
bq7	Cq7	2	2
Bq7	pq7	3	3
bqq	Cqq	2	2
Bqq	pqq	2	2
bR5	mR5	2	2
BR5	gR5	2	2
br6	Cr6	2	2
bR7	CR7	1	1
BR7	pR7	2	2
br8	Cr8	3	3
brK	CrK	3	3
BrK	prK	3	3
bs_	ms_	1	1
Bs_	gs_	2	2
bS5	mS5	2	2
BS5	gS5	2	2
bs6	Cs6	2	2
BS6	pS6	3	3
bS7	CS7	3	2
BS7	pS7	4	2
bsK	CsK	2	2
bSK	CSK	4	2
BSK	pSK	4	2
Bsq	psq	1	1
Bt_	gt_	2	2
bT5	mT5	2	2
bt6	Ct6	2	2
btK	CtK	2	2
bTK	CTK	2	2
BtK	ptK	2	2
BTK	pTK	3	3
bTY	mTY	2	2
bU_	mU_	1	1
BU_	gU_	1	1
bu6	Cu6	5	2
Bu6	pu6	3	2
bv5	mv5	2	2
bV5	mV5	2	2
bV7	CV7	1	1
BV7	pV7	3	2
BvK	pvK	4	3
bw5	mw5	2	2
bW5	mW5	1	1
Bw5	gw5	2	2
bW6	CW6	4	2
BW6	pW6	4	2
bx5	mx5	2	2
bX5	mX5	2	2
Bx5	gx5	2	2
BX5	gX5	3	3
bx6	Cx6	3	3
bxK	CxK	3	3
BxK	pxK	3	3
bxO	mxO	1	1
by5	my5	1	1
bY5	mY5	2	2
By5	gy5	1	1
BY5	gY5	2	2
BY6	pY6	3	3
byK	CyK	3	2
ByK	pyK	3	3
bz5	mz5	2	2
bZ5	mZ5	2	2
Bz5	gz5	1	1
BZ5	gZ5	2	2
bz7	Cz7	2	2
BZM	gZM	1	1
c_q	d_q	2	2
C$7	R$7	2	2
c$q	d$q	2	2
C$q	R$q	4	2
C05	u05	2	2
c07	d07	2	2
C07	R07	3	3
c0K	d0K	2	2
C0K	R0K	2	2
C16	R16	4	4
c17	d17	2	2
c27	d27	1	1
C2K	R2K	2	2
C35	u35	2	2
c3K	d3K	2	2
c45	i45	2	2
C45	u45	2	2
c46	d46	1	1
C4K	R4K	2	2
c4q	d4q	2	2
c56	d56	3	3
C57	R57	2	2
C6	R6	55	55
c67	d67	2	2
C67	R67	2	2
c6K	d6K	2	2
c6q	d6q	2	2
c75	i75	2	2
C75	u75	2	2
c76	d76	5	3
C76	R76	4	4
C86	R86	2	2
c95	i95	2	2
C95	u95	2	1
C96	R96	3	3
c9q	d9q	1	1
ca_	ia_	2	2
Ca_	ua_	1	1
Ca6	Ra6	2	2
cA7	dA7	2	2
cb5	ib5	2	2
Cb5	ub5	2	2
cC5	iC5	3	3
CC7	RC7	2	2
Cd_	ud_	2	2
cD5	iD5	2	2
CD5	uD5	3	2
cD6	dD6	3	3
Cd6	Rd6	1	1
CDK	RDK	3	1
ce_	ie_	1	1
Ce_	ue_	2	2
cE5	iE5	3	3
CE5	uE5	2	2
ce8	de8	3	3
cEK	dEK	3	3
CEK	REK	1	1
cf5	if5	2	2
cf7	df7	2	2
cfK	dfK	2	2
CfK	RfK	1	1
cg_	ig_	2	2
Cg_	ug_	2	2
cG6	dG6	3	3
cgK	dgK	2	2
CgK	RgK	2	2
CGK	RGK	2	2
ch5	ih5	2	2
cH5	iH5	2	2
Ch5	uh5	2	2
CH5	uH5	2	2
ch7	dh7	3	3
Ch7	Rh7	3	3
cHK	dHK	2	2
ChK	RhK	2	2
cI5	iI5	2	1
CI5	uI5	2	2
ci6	di6	2	2
Ci6	Ri6	2	2
cI7	dI7	3	3
CI7	RI7	2	2
ciq	diq	1	1
cj5	ij5	2	2
Cj5	uj5	2	2
Cj6	Rj6	3	3
cj7	dj7	3	3
CjK	RjK	3	3
CJK	RJK	2	2
cK5	iK5	2	2
CK5	uK5	2	1
cK6	dK6	2	1
Ck6	Rk6	3	3
CK6	RK6	3	2
ck7	dk7	2	2
Ck7	Rk7	2	2
CK7	RK7	2	2
ckK	dkK	3	3
CkK	RkK	3	2
cL5	iL5	2	2
cl6	dl6	3	3
Cl6	Rl6	4	4
cM5	iM5	2	2
CM5	uM5	2	2
cM6	dM6	2	2
CM6	RM6	2	2
cM7	dM7	3	3
CM7	RM7	3	3
Cmz	umz	2	2
cN5	iN5	3	2
CN5	uN5	3	2
cn6	dn6	2	2
Cn6	Rn6	2	2
cNK	dNK	2	2
CNK	RNK	2	2
cO5	iO5	2	2
CO5	uO5	2	2
co6	do6	2	2
Co6	Ro6	2	2
coq	doq	2	2
CP5	uP5	2	1
cP6	dP6	3	3
CP6	RP6	3	3
cPK	dPK	3	1
CPK	RPK	2	2
CPq	RPq	1	1
CPY	uPY	1	1
cQ_	iQ_	3	3
CQ_	uQ_	2	2
cq6	dq6	3	3
cq7	dq7	2	2
Cq7	Rq7	3	2
cqq	dqq	3	1
cR5	iR5	2	2
CR5	uR5	2	2
cR6	dR6	3	3
cR7	dR7	2	2
CR7	RR7	2	2
Cr8	Rr8	3	3
crK	drK	1	1
CrK	RrK	3	3
cs_	is_	2	2
Cs_	us_	2	2
Cs5	us5	2	2
CS5	uS5	2	2
cS6	dS6	4	2
cS7	dS7	2	2
CS7	RS7	3	1
CSK	RSK	2	1
ct_	it_	2	2
Ct_	ut_	1	1
Ct6	Rt6	3	1
ct8	dt8	1	1
ctK	dtK	2	2
cTK	dTK	3	3
CTK	RTK	1	1
CTY	uTY	2	2
cU_	iU_	2	2
CU_	uU_	1	1
Cu6	Ru6	2	2
cv7	dv7	1	1
cV7	dV7	2	2
CV7	RV7	1	1
cvK	dvK	2	2
cw5	iw5	2	1
Cw5	uw5	2	2
cW6	dW6	4	4
CW6	RW6	2	1
cWK	dWK	2	2
cx5	ix5	2	2
cX5	iX5	2	2
Cx5	ux5	1	1
CX5	uX5	2	2
cx6	dx6	4	2
Cx6	Rx6	3	2
CX6	RX6	3	3
cx7	dx7	3	3
cxK	dxK	3	2
CxK	RxK	3	3
CxO	uxO	1	1
CXz	uXz	1	1
cy5	iy5	1	1
cY5	iY5	2	2
Cy5	uy5	2	2
CY5	uY5	2	2
cyK	dyK	3	3
CyK	RyK	3	2
cz5	iz5	2	1
cZ5	iZ5	2	2
Cz5	uz5	2	2
CZ5	uZ5	2	2
cz7	dz7	2	2
d_q	Q_q	2	2
d$7	Q$7	2	2
d$q	Q$q	3	3
d05	n05	2	2
D05	X05	2	2
d07	Q07	2	2
d15	n15	1	1
D16	M16	3	3
d17	Q17	2	2
d25	n25	2	2
D26	M26	4	2
d27	Q27	1	1
D2K	M2K	1	1
d35	n35	2	2
D35	X35	2	2
d36	Q36	3	3
D37	M37	2	2
d3K	Q3K	2	2
d45	n45	2	2
D45	X45	2	2
D46	M46	3	3
d47	Q47	2	2
D47	M47	2	2
d4K	Q4K	2	2
d4q	Q4q	2	1
d55	n55	2	2
d56	Q56	3	3
d5O	i5O	1	1
d65	n65	2	2
d67	Q67	2	2
d6q	Q6q	3	3
d75	n75	2	2
D75	X75	2	2
d76	Q76	6	3
D86	M86	3	3
d87	Q87	2	2
D8q	M8q	1	1
d95	n95	2	2
D95	X95	2	2
D97	M97	2	2
d9q	Q9q	3	3
D9q	M9q	2	1
dA5	nA5	1	1
dA6	QA6	3	2
Da6	Ma6	1	1
DA6	MA6	1	1
daK	QaK	2	2
DaK	MaK	2	2
dAq	QAq	2	2
Daq	Maq	2	2
Db5	Xb5	2	2
dc_	nc_	2	2
DC5	XC5	2	2
Dc6	Mc6	3	2
DC7	MC7	2	2
dd_	nd_	1	1
Dd_	Xd_	2	2
dD5	nD5	1	1
DD5	XD5	2	2
dD6	QD6	3	3
DD6	MD6	3	3
de_	ne_	1	1
De_	Xe_	2	2
dE5	nE5	2	2
DE5	XE5	2	2
DE7	ME7	2	2
de8	Qe8	2	2
deK	QeK	2	2
dEK	QEK	2	2
DEK	MEK	3	2
df5	nf5	2	2
Df5	Xf5	1	1
df6	Qf6	3	3
dfA	nfA	1	1
dfK	QfK	2	2
DFK	MFK	1	1
dg_	ng_	2	2
