target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__	e9	6	2
__5	C35	3	2
__7	Z97	4	4
__A	W3A	2	2
__K	d3K	3	3
__Y	M3Y	1	1
__z	f3z	2	2
_$	iw	22	6
_$4	i24	2	2
_$6	Qw6	1	1
_$7	Pw7	4	1
_$Y	M2Y	2	2
_0	sW	16	6
_04	lP4	1	1
_05	RP5	2	2
_0q	_Wq	1	1
_0Y	MPY	2	2
_1	z1	142	83
_11	y81	3	2
_14	_84	2	2
_15	b65	3	2
_16	i86	8	3
_18	p88	4	3
_1A	D6A	3	3
_1Y	M6Y	1	1
_1z	T6z	2	2
_2_	NO_	2	2
_24	iO4	2	2
_26	Q26	7	4
_2A	DOA	2	2
_2K	UOK	2	2
_2Y	MOY	2	2
_3	i5	31	31
_31	y51	4	3
_34	pK4	3	2
_36	r56	4	4
_37	Z57	4	4
_38	g58	2	2
_3A	WKA	2	2
_3z	WKz	2	2
_4	K4	80	6
_4_	N7_	1	1
_44	_q4	2	2
_46	iq6	4	4
_4A	W7A	2	2
_4Y	M7Y	2	2
_51	yK1	2	2
_54	p44	4	4
_56	oK6	9	2
_57	ZK7	3	3
_5A	W4A	1	1
_61	ye8	5	3
_66	oe	9	4
_68	pe6	5	4
_6A	XtY	2	2
_71	y11	3	2
_75	b85	1	1
_77	v17	3	3
_78	p18	1	1
_7Y	P8Y	2	2
_7z	T8z	2	2
_81	y61	3	3
_88	p68	5	5
_8Y	Zez	2	2
_9	o3	3	3
_91	y31	1	1
_98	F38	4	3
_9Y	M5Y	2	2
_9z	f5z	2	2
_A	tY	19	17
_a1	fo1	4	2
_A1	EY1	4	1
_a4	dr4	2	2
_A4	iz4	2	2
_a8	ho8	3	3
_A8	pY8	6	2
_a9	Nr9	2	2
_AA	DzA	2	2
_az	Zrz	2	2
_B	tm	8	6
_B_	Gu_	3	3
_b1	TC1	5	3
_B1	Gm1	3	3
_b4	iS4	2	2
_b6	QC6	4	4
_bK	pSK	1	1
_bY	NSY	1	1
_c	qc	6	6
_c_	kQ_	1	1
_c1	fd1	1	1
_c4	QQ4	2	2
_C4	rR4	2	2
_c5	LQ5	3	2
_C6	QS6	7	4
_c8	Rd8	4	3
_cj	zUj	1	1
_cK	xQK	2	2
_CK	pRK	3	2
_cY	VQY	2	2
_d	Kd	12	7
_d_	kU_	1	1
_D4	lW4	2	2
_d5	hU5	3	3
_D5	RW5	2	2
_d8	RQ8	2	2
_dK	pUK	1	1
_dY	fUY	2	2
_DY	MWY	2	2
_e	nt	3	3
_E_	Nk_	2	2
_E1	VN1	3	3
_E5	Rk5	2	2
_e6	Ct6	5	2
_E6	cN6	3	3
_e8	St8	5	2
_eK	xsK	1	1
_EK	pkK	3	2
_eO	asO	2	2
_Eq	_Nq	3	2
_EY	jkY	1	1
_Ez	Gkz	2	2
_F	rp	6	6
_F4	QB4	2	2
