target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__1	U_1	3	3
__4	d_4	2	2
__7	x_7	2	2
__Y	rez	2	2
_$	W$	18	13
_$7	h$7	1	1
_$Y	bYY	2	2
_05	Ef5	2	2
_06	Gf6	8	2
_0K	nWK	3	1
_0z	Ifz	2	2
_11	Q11	4	4
_14	p14	2	2
_16	A16	3	3
_17	Te1	4	3
_1A	P7O	2	2
_1K	zr4	2	2
_26	D26	3	3
_28	y28	3	3
_2K	M9K	2	2
_2Y	bAY	2	2
_2z	E2z	2	2
_31	Q31	1	1
_36	F56	6	2
_37	x37	4	4
_3A	q9O	2	2
_3Y	Wsz	1	1
_4	$4	1	1
_41	Q41	1	1
_44	m44	1	1
_47	Uq7	1	1
_4A	PKO	1	1
_5	H5	51	1
_51	Q51	2	2
_54	m54	4	2
_56	pK6	5	5
_5Y	Maz	2	2
_61	Q61	4	4
_64	p64	1	1
_66	A66	5	5
_67	Ts1	2	2
_6A	X8O	2	2
_7	s1	53	53
_71	Q71	2	2
_77	Q17	3	3
_7A	PqO	1	1
_7z	R7z	2	2
_81	Q81	4	4
_86	$86	3	3
_87	Tt1	3	3
_88	tt6	2	2
_9	J9	28	28
_91	U91	4	1
_97	x97	1	1
_98	v98	6	2
_9A	d9O	2	2
_A	wO	19	19
_a_	La_	3	2
_a4	gU4	2	2
_A4	UO4	1	1
_A7	EO7	1	1
_aY	xaY	1	1
_b	Pb	13	2
_B	SQ	5	5
_B_	xp_	2	2
_b1	nb1	3	3
_B1	lp1	3	3
_B4	k$K	2	2
_b5	Eb5	1	1
_B5	Ep5	3	2
_b6	fb6	7	2
_B6	Hp6	6	3
_b7	xb7	3	3
_b8	jg8	5	2
_B8	Yu8	3	3
_B9	Ep9	3	3
_bK	TbK	2	2
_bY	QCY	2	2
_C	JC	6	6
_C4	qb4	2	2
_C5	EC5	2	2
_C7	xC7	1	1
_CK	TCK	1	1
_cY	AcY	1	1
_CY	pSY	2	2
_d	wd	7	4
_D	HW	13	13
_d1	sd1	2	2
_d4	wJK	2	2
_D4	QW4	1	1
_D5	EW5	1	1
_D6	vW6	3	3
_D7	uW7	3	1
_d8	Cd8	2	2
_dY	$dY	1	1
_Dz	IWz	2	2
_E_	EE_	2	1
_e1	Wa1	3	3
_E5	EE5	3	2
_e6	ke6	5	4
_E6	NE6	5	4
_e8	Qe8	2	2
_E8	FE8	1	1
_eq	meq	2	2
_eY	X6O	2	2
_Ez	DwY	2	2
_f4	dZ4	2	2
_f5	EZ5	3	2
_F6	jF6	3	2
_f7	uZ7	2	2
_f8	VZ8	3	3
_fK	nDK	2	2
_g	Yg	1	1
_G	$G	8	2
_g_	Cg_	2	2
_g1	lg1	1	1
_G1	UG1	1	1
_g4	$p4	3	3
_g6	Hg6	6	2
_g7	mg7	2	2
_G7	uG7	4	4
_g8	wp8	4	4
_g9	Eg9	2	2
_GK	eZK	2	1
_gq	mgq	2	2
_gY	QBY	2	2
_GY	JGY	2	2
_Gz	W1Y	2	2
_H5	EH5	2	2
_h6	tE6	3	3
_h7	uh7	3	3
_H7	BH7	3	3
_h8	Bh8	2	2
_HK	XzK	3	2
_hz	s2Y	2	2
_Hz	yHz	2	2
_I	MI	14	5
_i1	S47	4	2
_I5	yI5	3	2
_I6	fI6	3	1
_I7	xI7	2	2
_i8	li8	1	1
_I8	_b8	3	3
_iY	TiY	1	1
_j	Xj	12	1
_J	eH	2	2
_j5	Ej5	1	1
_J5	EJ5	2	2
_j6	Gj6	7	5
