target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__$	i7$	1	1
__1	a61	2	2
__5	D6A	2	2
__7	Fq7	1	1
_$$	leH	4	4
_$1	aa9	2	2
_$5	Ma1	2	2
_$6	yt8	3	3
_$7	UsK	2	2
_$K	ftq	2	2
_0_	KW_	3	2
_0$	NG$	3	3
_04	YW4	1	1
_07	J27	3	3
_09	tP9	3	3
_1$	l_$	1	1
_14	H74	1	1
_15	MKA	2	2
_16	E46	1	1
_17	u77	3	3
_18	z_8	3	2
_19	$79	2	2
_21	pX1	1	1
_27	XL7	1	1
_2H	KWH	5	5
_3	r3	15	12
_3_	A5_	3	2
_3$	Gz$	2	2
_31	p51	1	1
_37	u57	1	1
_39	tA9	2	2
_3H	D3H	6	3
_3K	HfK	1	1
_4	M4	35	31
_44	q64	1	1
_45	D8A	2	2
_46	Vq6	1	1
_47	U67	2	2
_48	JK8	3	3
_4H	y7H	4	4
_4q	Jqq	3	1
_54	K44	3	2
_55	M7A	2	2
_57	u47	1	1
_58	f98	1	1
_59	q49	2	2
_5K	E4K	2	2
_6	e8	58	4
_6$	l$$	2	2
_61	ot9	1	1
_68	N$8	4	2
_69	Pt_	1	1
_6K	_HK	3	2
_7	q7	66	2
_7$	iq$	3	3
_71	a$1	2	1
_75	w$A	2	2
_77	U87	1	1
_78	Xq8	3	3
_7K	E8K	3	3
_8	A8	154	82
_8$	cH$	4	4
_81	as9	2	2
_85	Ys1	2	2
_86	ye8	2	2
_87	UtK	3	3
_88	hH8	2	2
_8K	feq	1	1
_9$	n4$	1	1
_91	aq1	2	2
_95	DqA	2	2
_96	E76	4	2
_97	mK7	2	2
_98	A48	2	2
_a	vo	6	5
_A	$5	12	12
_a_	OH9	3	3
_a$	Wr$	1	1
_A$	g1$	6	4
_a1	Pl1	2	2
_A1	a41	2	2
_A5	w4A	1	1
_a7	Xn7	3	3
_A9	q_9	1	1
_AH	zuH	3	3
_AK	h_K	3	2
_B	Np	9	8
_b$	jR$	3	3
_B$	Gm$	3	3
_b1	ch1	1	1
_B1	gb1	2	1
_b4	YI4	2	2
_B6	ju6	3	2
_b7	QI7	3	2
_B7	gx7	1	1
_BH	lmH	6	3
_c	GQ	9	5
_c1	GF1	2	2
_C1	qh1	1	1
_c4	MU4	3	2
_c6	Wg6	3	2
_C7	Qh7	1	1
_cf	UBf	1	1
_CH	QSH	6	5
_CK	chK	2	2
_Cq	Shq	3	2
_d	Zg	9	6
_D	BM	18	7
_D_	A3_	3	2
_d$	vU$	5	2
_d1	Gp1	2	2
_D1	m31	2	2
_d6	WF6	2	2
_D6	mY6	1	1
_d7	mB7	2	2
_D8	tY8	2	2
_D9	tz9	2	2
_dH	nUH	2	2
_dK	QBK	1	1
_DK	t3K	2	2
_E	Fy	10	8
_e_	Pr_	2	2
_E_	VT_	2	2
_e$	Ws$	3	3
_e1	Xr1	2	2
_E1	zk1	1	1
_e8	Sa8	3	3
_EH	iNH	4	4
_EK	rkK	1	1
_f$	gA$	5	4
_f1	a_1	2	1
_F1	Fx1	2	2
_f6	E16	3	3
_F6	jm6	2	2
_F7	mu7	2	2
_f9	t_9	2	2
_fH	y5H	8	8
_FH	cpH	2	2
_fK	$1K	2	2
_g	TU	6	6
_G	i2	9	9
_G_	AL_	3	2
_g$	vF$	3	2
_G1	mL1	1	1
_G7	JP7	3	3
_g8	NB8	3	2
_GH	H2H	4	1
_gK	cpK	2	2
_GK	rLK	3	3
_h	dE	4	4
_h_	Vk_	2	2
_h$	Xy$	3	3
_H5	wo1	2	2
_h7	rV7	1	1
_h8	lN8	2	2
_H8	Et$	5	3
_hK	nVK	3	3
_hq	SVq	2	2
_I	Bh	13	1
_i4	OQ4	3	3
_i6	Jc6	3	2
_I6	jy6	3	2
_iH	ilH	4	4
_IH	nEH	5	4
_IK	cNK	1	1
_j	Qw	13	12
_j_	AO_	3	2
_J_	AD_	1	1
_j$	VD$	4	4
_j1	mO1	1	1
_j6	PM6	1	1
_J6	vw6	4	2
_j7	uO7	2	2
_J7	CD7	3	1
_j8	tM8	2	2
_jK	oOK	3	2
_JK	oDK	2	2
_k	nT	12	1
_K	eq	71	6
_k$	Vv$	3	3
_k1	WZ1	2	2
_K1	aH1	2	2
_K5	JHA	2	2
_k7	J07	2	2
_K7	U$7	3	3
_k8	o08	3	3
_kA	DG5	1	1
_KK	y$K	3	3
_l	cs	2	2
_L	gX	10	1
_L_	Aw_	2	2
_L$	VJ$	4	4
_l1	GU1	1	1
_L1	mw1	2	2
_l4	Og4	2	2
_l6	Pd6	1	1
_L6	vj6	1	1
_L7	Cw7	2	2
_l8	xd8	3	3
_L8	tj8	5	3
_LK	awK	2	2
_M_	Az_	3	2
_m$	Gx$	2	2
_M1	mz1	2	2
_m4	YC4	3	2
_m6	jb6	2	2
_M6	m36	4	4
_M8	t38	1	1
_mH	UxH	4	4
_MH	_OH	6	4
_MK	tzK	2	2
_N	lV	13	7
_n1	Pg1	2	2
_N1	_v1	1	1
_n4	Od4	2	1
_N6	wT6	2	2
_N7	wT7	2	2
_n8	CQ8	4	2
_N8	oT8	1	1
_N9	a09	2	2
_nH	ocH	2	1
_NH	lkH	2	2
_nq	fQq	2	2
_o	Wr	7	2
_O	oY	16	13
_O_	Af_	3	2
_o$	vi$	2	2
_O$	Z3$	6	2
_O1	mf1	2	2
_O6	Bz6	3	3
_O7	uf7	2	2
_O8	tz8	3	3
_O9	t59	2	2
_oH	iiH	6	1
_p	Sm	10	3
_P	pL	9	9
_p_	VC_	2	2
_p$	Wu$	5	2
_P$	yX$	6	2
_p1	gC1	1	1
_p4	Yb4	2	2
_P6	PJ6	1	1
_P7	JJ7	3	2
_P8	tJ8	3	3
_pH	ruH	6	5
_PH	fLH	3	3
_q	qq	2	2
_Q	Vd	7	4
_q1	oe9	2	2
_Q1	GB1	2	2
_Q7	IF7	1	1
_Q8	VU8	1	1
_qH	E6H	5	5
_QK	UFK	2	2
_r	Ji	11	2
_r_	$c_	1	1
_R7	QE7	1	1
_RH	iIH	2	2
_RK	cEK	2	2
_s	va	5	5
_S	BI	12	12
_s_	Pn_	3	3
_s$	Wo$	2	2
_s1	Ln1	1	1
_s9	on9	1	1
_SH	ihH	7	5
_SK	cyK	2	2
_t	vs	5	5
_T	nv	14	2
_T_	KG_	1	1
_T$	N0$	6	2
_t1	Li1	2	2
_T1	vG1	2	2
_T4	YG4	3	3
_t6	Jo6	1	1
_T6	MZ6	3	3
_t7	Lr7	3	2
_T7	JZ7	3	3
_t9	oi9	2	2
_TH	e0H	2	2
_U	kF	5	5
_U$	ZB$	2	2
_u1	cS1	2	2
_u4	YR4	2	2
_u6	jC6	4	2
_u9	aS9	2	2
_uH	dbH	1	1
_UH	cBH	7	4
_Uq	Smq	1	1
_V	rk	15	4
_v_	K2_	3	2
_V$	yT$	3	3
_v1	v21	1	1
_V1	Z01	2	2
_v7	JG7	2	2
_V8	ov8	3	3
_v9	tW9	2	2
_V9	oZ9	1	1
_W	dP	14	3
_w_	AY_	3	2
_W_	AJ_	3	2
_w$	VM$	3	3
_W$	NL$	1	1
_w1	mY1	2	2
_W1	pJ1	2	2
_w4	r34	2	2
_W4	YJ4	2	2
_w6	_56	4	4
_W6	M56	4	3
_W7	XX7	3	2
_w8	tO8	4	3
_W8	sX8	3	3
_w9	t39	3	3
_wK	tYK	1	1
_WK	aJK	3	3
_X_	AM_	3	2
_x$	vC$	4	4
_x1	cI1	2	2
_X1	mM1	2	2
_x6	jR6	2	2
_X7	uM7	1	1
_x9	aI9	2	2
_xH	QCH	3	3
_XH	AjH	6	4
_XK	oMK	2	2
_Y	dY	20	16
_y_	Vv_	2	2
_Y_	AA_	3	2
_y$	XV$	3	3
_Y$	Sf$	4	3
_y1	_T1	2	2
_Y1	mA1	3	3
_Y4	a14	1	1
_y6	wk6	1	1
_Y6	F56	1	1
_y7	wk7	3	3
_Y7	uA7	2	2
_y8	Jp6	1	1
_Y9	t19	1	1
_YK	$5K	2	2
_Yq	J5q	4	2
_z	ef	34	2
_z1	t91	2	2
_Z1	mP1	2	2
_z6	EA6	3	2
_Z6	YW6	4	2
_Z7	JW7	1	1
_z9	t99	2	2
_zH	vfH	7	1
_ZH	$GH	3	3
$_	a4	22	17
$_$	c7$	1	1
