target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__1	p71	2	2
__9	r79	2	2
__H	S4H	8	8
__q	F7q	3	2
_$$	p8$	3	3
_$1	Fe9	2	2
_$6	de8	3	3
_$A	ke1	1	1
_$H	yHH	10	6
_$q	Fe6	1	1
_0	sZ	18	10
_0_	sG_	2	1
_0$	_Z$	3	3
_07	LG7	2	2
_08	$Z8	3	1
_09	UG9	2	2
_0H	LZH	5	3
_1_	a__	2	1
_11	p_1	3	2
_19	a_9	2	2
_2_	aP_	3	2
_21	FP1	2	2
_24	aP4	2	1
_27	PP7	3	3
_28	$28	3	3
_29	UP9	2	2
_2H	Z2H	2	2
_3	sz	12	12
_3_	af_	3	2
_31	pf1	3	3
_36	Bf6	4	3
_37	Lf7	2	2
_38	$z8	3	3
_3H	IzH	4	4
_3K	FfK	2	2
_4$	j7$	4	4
_47	bK7	1	1
_48	H78	5	5
_49	rK9	2	1
_4A	EK5	2	2
_5_	a1_	3	2
_51	p11	3	2
_56	p16	4	4
_57	L17	2	2
_59	r19	2	2
_5H	h5H	6	6
_6	A6	77	70
_61	p$1	1	1
_66	d$6	3	3
_68	q88	2	2
_6A	k$5	2	2
_6H	N8H	8	5
_6K	g$K	1	1
_76	dq6	4	2
_77	bq7	1	1
_78	eq8	3	3
_79	rq9	2	2
_7A	Eq5	2	2
_7H	SKH	4	3
_8	K8	123	74
_8$	Y$$	6	4
_81	mH1	2	2
_87	pH7	2	2
_88	$$8	5	5
_8A	kH5	1	1
_8K	gHK	2	2
_9	K9	35	12
_9$	j_$	4	4
_91	p41	2	2
_97	y47	2	2
_99	a49	2	2
_A_	a9_	3	2
_A$	w1$	3	3
_A1	p91	2	2
_A6	B96	1	1
_a8	br8	1	1
_a9	cr9	2	2
_A9	a99	2	2
_AH	E1H	4	4
_B	np	12	4
_b1	dR1	1	1
_B1	um1	3	3
_b4	aR4	2	2
_b6	FR6	2	2
_B6	gm6	1	1
_B7	Sm7	1	1
_B8	em8	4	2
_bH	ZbH	1	1
