target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
___	U$5	2	2
__$	Z58	1	1
__1	TPY	1	1
__8	w81	1	1
__9	S5z	2	2
_$1	c2Y	2	2
_$8	lo8	3	3
_01	OUY	3	3
_06	xv7	1	1
_07	EuK	3	3
_0K	$C4	2	2
_1	q_	15	1
_1$	P_8	1	1
_11	gDY	2	2
_16	vz7	3	3
_17	WDK	2	2
_19	Kzz	3	3
_1H	l96	3	3
_24	Ro9	1	1
_3_	V05	2	1
_3$	gO8	1	1
_4_	Uj5	2	2
_4$	Z38	2	2
_41	yWY	2	2
_46	D97	1	1
_48	A11	4	2
_49	B3z	2	2
_4K	H$4	2	2
_5_	RX5	2	2
_58	G41	3	3
_5K	dH4	2	2
_6	_7	34	33
_6_	wO5	2	2
_61	ejY	1	1
_69	Z7z	1	1
_7_	U25	1	1
_7$	Lg8	2	2
_71	XMY	2	2
_77	SMK	1	1
_79	vKz	3	2
_7H	a$6	5	5
_8	A1	18	16
_8$	B18	4	4
_87	g5A	1	1
_88	la8	1	1
_89	Z1z	1	1
_8H	Y16	8	2
_9_	FH5	2	2
_9$	f98	7	4
_91	b0Y	1	1
_96	G_7	3	1
_98	A71	2	2
_a	$a	7	7
_a1	aHA	2	2
_A1	BvY	1	1
_A8	G51	2	2
_aH	fa6	6	3
_AK	rP4	3	3
_b$	NR8	5	2
_b1	W6A	2	2
_B6	HU7	2	2
_bK	sQ4	2	2
_BK	At4	2	2
_c	wd	11	2
_c7	H15	1	1
_C7	tnK	1	1
_C8	Lb1	1	1
_Cq	Wmq	1	1
_d	fQ	3	3
_D_	xv5	1	1
_d1	pzA	2	2
_d7	X85	2	2
_D7	HyK	1	1
_d8	nQ1	2	2
_D8	BA1	2	2
_D9	DMz	2	2
_DH	wJ6	4	4
_E	lE	11	6
_E1	hiY	2	2
_e4	Bd_	2	2
_e5	vWO	2	2
_e7	zz5	1	1
_E7	UgK	1	1
_e8	P67	1	1
_E8	YE1	2	2
_EH	Ty6	3	3
_F	qF	4	4
_F1	p3A	1	1
_F4	hh_	3	3
_f8	GK1	1	1
