target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__	K_	41	5
__5	T35	2	1
__6	g96	7	4
__8	T98	4	1
__K	A9K	3	3
__Y	F3Y	1	1
_$5	Tz5	1	1
_$6	UY6	6	4
_$8	TY8	2	2
_$K	wYK	3	3
_$Y	FzY	2	2
_$z	Bzz	2	2
_0	iZ	11	8
_01	vZ1	2	2
_04	$Z4	2	2
_06	BZ6	5	2
_08	fZ8	1	1
_0K	tfK	2	2
_1	e8	131	72
_11	M81	4	3
_15	T65	2	1
_16	d86	4	4
_17	J87	3	3
_18	k88	3	3
_1O	x6O	2	2
_2	nw	21	1
_26	Fw6	3	1
_2Y	gAY	1	1
_2z	FAz	2	2
_34	A54	2	1
_37	H57	3	3
_3Y	FKY	2	2
_4	eq	81	25
_41	Mq1	4	2
_44	Aq4	3	2
_46	Fq6	7	4
_48	vq8	1	1
_4Y	F7Y	1	1
_51	PK1	1	1
_56	gK6	6	2
_57	HK7	3	3
_58	GK8	1	1
_5K	AKK	3	2
_5Y	F4Y	2	2
_6$	VtY	2	2
_61	Me8	4	4
_65	TtK	1	1
_66	de	10	2
_68	Ve6	6	4
_6Y	Ftz	2	2
_6z	Bt_	2	2
_71	M11	1	1
_74	O14	3	3
_75	T85	1	1
_76	c16	6	4
_77	w17	2	2
_78	V18	4	3
_8_	ae9	1	1
_81	M61	2	2
_87	M67	2	2
_88	V68	2	2
_94	Y34	1	1
_97	A37	4	3
_98	T38	4	3
_9Y	F5Y	2	2
_A	sO	29	6
_A5	T$5	2	2
_A6	UO6	8	3
_A8	kO8	3	3
_aq	Aoq	2	2
_az	Urz	1	1
_Az	B$z	2	2
_b	oC	6	6
_b1	JC1	3	3
_b4	$C4	2	1
_b6	CC6	2	2
_B6	Sp6	3	3
_b7	OC7	2	2
_b8	MC8	5	1
_B8	Jp8	2	2
_bK	hSK	1	1
_bY	kSY	3	3
_BY	NmY	2	2
_c	dd	10	3
_c4	zd4	2	2
_C4	$S4	2	2
_C5	TR5	2	2
_c6	Ld6	7	3
_C6	CS6	2	2
_C7	$S7	1	1
_c8	Jd8	2	2
_c9	Kd9	2	2
_CY	kRY	3	3
_d	lQ	9	9
_D	iW	10	10
_D_	aP_	2	2
_d1	XQ1	2	2
_D4	$W4	2	2
_d6	LQ6	3	3
_D6	BW6	4	4
_D7	zW7	1	1
_d8	JQ8	4	4
_DK	zWK	4	2
_dY	NUY	1	1
_DY	pPY	2	2
_e	ct	5	5
_e_	Bs_	2	2
_e1	Mt1	4	2
_E1	fy1	3	3
_E4	$y4	2	2
_E5	TN5	2	1
_E6	uy6	6	6
_E7	zy7	3	3
_e8	Mt8	2	2
_E8	Xy8	5	2
_eq	Otq	2	2
_eY	VsY	1	1
_EY	kNY	1	1
_f	iD	5	5
_f_	aW_	2	1
_f1	vD1	3	2
_f4	$D4	2	2
_f7	zD7	4	4
_F8	Mg8	2	2
_fK	qDK	2	2
_fq	TDq	3	2
_FY	NBY	2	2
_g	nB	8	6
_G	s0	7	5
_g1	JB1	3	3
_g8	JB8	2	2
_G8	Z08	4	2
_GK	tZK	3	2
_gY	NpY	1	1
_gz	Upz	2	2
_h	sL	2	2
_h4	$L4	2	2
_H4	$j4	2	1
_h5	TE5	1	1
_H5	T25	3	3
_H6	gj6	6	5
_h7	OL7	3	3
_H7	Yj7	3	1
_h8	ML8	4	2
_Hq	Gjq	2	2
_HY	g2Y	2	2
_Hz	F2z	2	2
_i	Bn	7	6
_I	ox	12	5
_I_	db_	1	1
_i1	Xn1	2	2
_I1	Jx1	3	3
_I4	$x4	2	2
_I6	Sx6	3	2
_i8	Hn8	4	3
_I8	Hx8	4	3
_I9	Kx9	2	2
_J5	Tj5	1	1
_j6	g26	4	2
_J6	UH6	8	6
_j7	Y27	2	2
_JK	_HK	2	2
_jq	G2q	2	2
_Jq	GHq	1	1
_jY	gwY	1	1
_JY	FjY	2	2
_Jz	Fjz	3	3
_k	rT	17	2
_K	YK	33	32
_K1	M41	3	3
_K4	A44	2	2
_k5	Tv5	3	2
_k7	zT7	2	2
_K7	H47	1	1
_k8	vE8	1	1
_K8	v48	5	5
_kK	tvK	2	2
_KK	O4K	1	1
_kY	kvY	3	3
_KY	FqY	1	1
_l	Uc	4	4
_l_	gd_	2	1
_L4	$E4	1	1
_L5	Ty5	2	2
_l6	yc6	5	5
_L6	uE6	5	3
_l8	Hc8	2	2
_L8	XE8	5	2
_l9	Kc9	1	1
_lK	NdK	1	1
_LK	iyK	2	2
_LY	kyY	2	1
_M	oJ	15	8
_m_	gI_	1	1
_M_	aH_	2	2
_m4	zu4	2	2
_M5	TH5	1	1
_m6	Su6	4	3
_M6	UJ6	8	5
_m8	ju8	3	3
_m9	Ku9	1	1
_M9	KJ9	1	1
_MK	zJK	1	1
_mq	Auq	2	2
_mY	hIY	2	2
_MY	FHY	2	2
_Mz	FHz	1	1
_N	nV	2	2
_n_	Bc_	2	2
_n1	Xl1	3	3
_N4	$V4	2	2
_n6	yl6	4	4
_N6	uV6	7	2
_N7	zV7	3	1
_N8	XV8	4	4
_nY	NcY	1	1
_NY	kkY	1	1
_o	Qr	4	4
_O	e$	19	19
_o1	Xr1	3	2
_o6	vr6	6	2
_O8	T$8	4	3
_OK	Y$K	3	2
_oY	ViY	1	1
_oz	Uiz	2	2
_Oz	BYz	2	2
_p	im	6	5
_P	cX	12	7
_p1	Jm1	2	2
_p6	Sm6	5	5
_P6	BX6	1	1
_p8	Jm8	5	4
_P8	GX8	4	2
_pK	huK	1	1
_PK	zXK	1	1
_pq	Amq	2	2
_pY	huY	2	2
_pz	Uuz	2	2
_Pz	FMz	2	2
_q	qq	97	6
_Q	nU	5	5
_q1	M71	3	3
_Q1	XU1	3	3
_Q6	LU6	2	2
_q7	j77	3	3
_q8	V78	4	3
_qK	Y7K	2	2
_r	gi	5	5
_r_	Bn_	2	2
_r1	Xi1	3	3
_R1	fh1	2	2
_R4	$h4	3	3
_R5	TL5	1	1
_R6	Ih6	3	3
_r8	Ji8	2	2
_R8	Mh8	4	3
_rK	TnK	1	1
_RK	iLK	2	2
_RY	kLY	2	2
_rz	Unz	2	2
_S5	Th5	2	1
_s6	Ta6	4	4
_S7	$R7	2	2
_s8	Ma8	1	1
_sY	VoY	2	2
_SY	khY	1	1
_sz	Foz	2	2
_t	ds	9	9
_T_	aG_	1	1
_t1	Xs1	2	2
_t4	zs4	2	2
_t6	Vs6	6	3
_T6	mv6	7	4
_t8	Ms8	4	4
_TK	tGK	3	3
_tq	Osq	3	2
_Tq	Tvq	2	2
_tz	Uaz	2	2
_u	rI	7	7
_U	nF	6	1
_u_	Ux_	2	2
_u1	JI1	3	3
_U1	XF1	4	2
_U4	zF4	2	2
_u8	HI8	6	5
_U8	MF8	2	2
_u9	KI9	2	2
_uY	hxY	2	2
_UY	NgY	1	1
_v	aG	7	7
_v_	a0_	2	1
_V_	oT_	3	2
_v1	vG1	2	2
_V6	Ik6	4	4
_v7	zG7	2	2
_v8	ZG8	3	3
_vY	k0Y	2	2
_w	nA	13	1
_W	lP	20	2
_W6	BP6	5	4
_W8	GP8	4	4
_WK	zPK	3	3
_wY	gOY	2	2
_WY	pXY	1	1
_wz	BOz	2	1
_Wz	UXz	2	2
_x	ob	13	4
_X_	aJ_	2	2
_X1	vM1	1	1
_x4	$b4	2	2
_X4	$M4	1	1
_x5	TC5	2	2
_X5	TJ5	1	1
_x8	Jb8	3	3
_X8	vM8	3	3
_x9	Kb9	2	1
_XK	zMK	2	2
_xq	Abq	2	2
_xY	SCY	2	2
_XY	FJY	2	2
_Xz	FJz	1	1
_y	iN	15	2
_Y	tz	20	19
_y1	fN1	3	3
_Y4	$z4	4	2
_Y5	T_5	1	1
_y6	uN6	8	6
_Y6	Uz6	1	1
_y7	zN7	4	2
_Y7	Yz7	4	4
_y8	XN8	2	2
_Y8	Tz8	5	3
_y9	KN9	2	2
_yK	iVK	2	2
_yq	TNq	2	2
_yY	kVY	2	2
_YY	F_Y	2	2
_z	e_	18	6
_Z	nf	7	6
_z4	$_4	2	2
_z5	T95	1	1
_z6	U_6	6	5
_z8	T_8	3	3
$_	z_	42	14
$_4	w94	2	2
$_5	N35	2	2
$_6	Q96	6	6
$_8	N98	5	3
$_K	H9K	2	2
$_Y	d3Y	3	3
$$	_$	17	17
$$5	Nz5	1	1
$$8	NY8	2	2
$$Y	dzY	2	2
$$z	Uzz	2	2
$01	VZ1	2	2
$06	UZ6	4	4
$1	Y1	126	84
$1_	e6_	2	2
$11	W81	4	3
$17	P87	3	3
$18	y88	4	3
$1K	O8K	2	2
$1O	m6O	2	2
$26	Qw6	4	4
$2Y	QAY	2	2
