target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__	v9	29	27
__4	j34	2	2
__8	m38	2	2
__A	LKA	2	2
__K	POK	2	2
__Y	Ixz	1	1
__z	hDz	2	2
_$7	h27	4	2
_$8	d28	2	2
_$A	mAA	2	1
_$z	_fz	2	2
_06	eP6	3	3
_0Y	FRz	1	1
_0z	nEz	3	3
_1_	ke9	1	1
_18	N88	1	1
_21	BO1	3	3
_26	V26	4	4
_28	cO8	2	2
_2A	mYA	1	1
_3	A3	21	21
_36	rK6	3	3
_3Y	EAY	2	2
_3z	sMz	3	3
_41	F71	2	2
_44	J74	3	2
_4A	p8A	2	2
_4z	X1z	2	2
_51	F41	2	2
_54	H44	2	2
_56	_y6	4	4
_58	xK8	2	2
_5A	B7A	2	2
_5q	Z4q	1	1
_5z	qMz	2	2
_66	P_6	1	1
_67	l67	3	3
_68	at6	5	5
_6A	paY	2	2
_7	q7	71	66
_71	F81	2	2
_74	Z84	1	1
_7A	peY	1	1
_7z	G6z	1	1
_8	Y8	197	94
_81	Fe8	2	2
_88	g68	4	4
_8A	psY	2	2
_9	o3	46	6
_91	F51	2	2
_96	U36	9	7
_97	Fr1	1	1
_98	h58	7	7
_9Y	eAY	2	2
_9z	hWz	2	1
_a	Co	10	5
_A	tY	14	14
_a1	Fa1	2	2
_A1	Fz1	2	2
_A7	Iz7	4	2
_AA	u9A	3	2
_aK	GrK	1	1
_aO	XnO	1	1
_AY	_hz	2	2
_b_	ZS_	2	2
_B4	_E4	2	2
_b6	aC6	3	3
_B7	Vu7	1	1
_B8	CB8	4	4
_B9	kx9	2	2
_Bq	Zuq	1	1
_bY	IRY	2	2
_c	ud	4	4
_c_	Dg_	2	2
_C_	ZR_	2	2
_c1	_g1	1	1
_C1	pS1	3	3
_c8	HC8	1	1
_C8	vC8	3	3
_c9	kg9	2	1
_cK	$QK	1	1
_CK	fSK	2	2
_cq	ZQq	2	2
_cY	cUY	1	1
_d1	Xc1	3	1
_D4	H04	2	2
_d5	LU5	2	1
_dK	HgK	1	1
_Dq	Z0q	2	2
_dY	LpY	1	1
_DY	zbz	1	1
_Dz	K0z	2	2
_E1	Bk1	2	2
_E5	Lv5	3	2
_E6	_N6	4	2
_e8	hs8	5	4
_E8	dk8	2	2
_eY	poY	1	1
_f	iG	8	1
_F	gB	12	4
_F4	_y4	2	2
