target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__	H1	24	5
__$	E_$	4	3
__5	_95	1	1
__8	M_8	3	3
_$$	hH$	7	2
_$6	fH6	3	3
_$7	QeK	2	2
_$H	RHH	6	6
_$K	$HK	2	1
_0	rZ	13	4
_0_	KG1	2	2
_0$	XZ$	3	3
_06	KZ6	1	1
_08	MZ8	4	3
_0H	QZH	6	5
_0K	tGK	3	3
_1	t9	26	6
_14	Q44	2	2
_15	_45	1	1
_16	K96	3	3
_18	Y98	3	3
_1H	x9H	8	3
_2	oW	11	8
_2_	KP1	2	2
_2$	JW$	2	2
_21	XP_	2	2
_25	$P5	2	2
_26	KW6	3	3
_27	lP7	4	3
_28	MW8	1	1
_2K	tPK	1	1
_3	XM	14	12
_3$	NY$	4	3
_31	Lf_	1	1
_35	_f5	3	3
_37	cf7	3	3
_39	Zf9	2	2
_3H	xYH	4	4
_3K	efK	1	1
_4$	E7$	3	2
_44	QK4	2	2
_45	_K5	1	1
_46	q76	1	1
_48	f78	3	3
_5	H5	40	2
_51	P__	2	2
_55	__5	2	1
_56	K16	5	3
_58	w18	6	3
_6_	q$1	1	1
_6$	I8$	5	3
_64	d$4	2	2
_65	z$5	1	1
_66	$86	3	2
_67	c$7	2	2
_6H	C8H	6	6
_7	q7	68	7
_7$	IK$	1	1
_71	Gq_	2	2
_75	_q5	2	2
_77	cq7	1	1
_78	zK8	1	1
_79	Tq9	2	2
_7K	eqK	2	2
_7q	qKq	1	1
_8_	qH1	3	3
_8$	I$$	4	4
_84	dH4	1	1
_85	zH5	1	1
_86	q$6	3	3
_8H	b$H	9	6
_8K	$$K	1	1
_9$	E4$	4	3
_94	Q74	2	2
_95	_75	1	1
_9H	b4H	7	6
_a	Co	8	8
_a$	Oo$	5	5
_A$	y5$	5	4
_A4	Q14	2	2
_A5	_15	1	1
_a7	dr7	1	1
_a9	Gr9	2	2
_aH	boH	5	4
_AH	m5H	4	4
_aK	QrK	2	2
_b	iC	15	2
_B	ip	9	7
_b_	zR1	2	2
_b$	JC$	2	2
_B4	Gm4	2	2
_b5	gS5	2	2
_b6	zC6	2	2
_B6	$p6	1	1
_B7	cm7	3	2
_b8	YC8	2	2
_B8	fp8	2	2
_b9	ZR9	3	2
_bH	BCH	7	6
_bK	dRK	4	3
_C	dR	1	1
_c_	OQ1	2	2
_C_	fS1	2	2
_c$	Xd$	3	3
_c1	KQ_	2	2
_C1	AS_	2	2
_C5	gI5	2	2
_C7	gS7	3	3
_C9	ZS9	3	2
_cH	xdH	4	4
_cK	dQK	3	2
_d	pQ	12	2
_d_	Og1	3	3
_d$	XQ$	3	3
_D$	vM$	3	3
_d1	Kg_	2	2
_D1	JO_	2	2
_d4	Gg4	2	2
_D5	HO5	2	2
_D6	$M6	1	1
_d7	cg7	2	2
_D8	wM8	3	2
_d9	Zg9	3	2
_dH	bQH	6	5
_DH	UMH	4	4
_dK	dgK	1	1
_DK	eOK	2	2
_e	ht	9	4
_e_	zs1	2	2
_E_	KN1	2	1
_e$	ft$	1	1
_E1	AN_	1	1
_e6	Ht6	3	1
_E6	Ay6	2	2
_e7	ds7	2	2
_E7	dN7	2	1
_E8	Oy8	5	2
_eH	CtH	3	3
_EH	gyH	3	3
_eK	QsK	2	2
_f	$f	18	16
_F	nB	5	5
_F_	fp1	2	2
_F4	Gp4	2	2
_f5	_A5	2	2
_F9	Zp9	3	2
_g	gU	12	2
_G	a2	7	7
_g_	zF1	1	1
_G_	KW1	2	2
_g$	jU$	1	1
_G$	X2$	2	2
_g4	GF4	2	2
_G6	K26	2	2
_g7	lF7	3	2
_G8	M28	4	4
_gH	CUH	3	1
_GH	Q2H	4	4
_gK	dFK	2	2
_h_	Ky1	2	2
_h$	XE$	4	2
_h1	zy_	2	2
_h5	QN5	2	2
_h7	Qy7	1	1
_h8	YE8	1	1
_h9	Zy9	3	2
_hK	dyK	2	2
_Hq	He6	3	3
_i	xn	5	5
_I	Uh	10	6
_I_	KE1	3	2
_i1	Kl_	1	1
_I1	zE_	2	2
_i7	cl7	1	1
_I7	gE7	3	2
_iH	xnH	8	6
_IH	ghH	3	3
_IK	dEK	2	2
_j	qj	22	2
_J	rX	12	12
_J_	Kj1	2	2
_j$	Gw$	6	6
_J$	WX$	5	3
_j1	JD_	2	1
_j5	HD5	1	1
_J5	Hj5	1	1
_J7	lj7	2	2
_j8	Ow8	1	1
_jH	QwH	6	5
_JH	dXH	6	4
_k$	XV$	2	2
_k1	Av_	2	2
_K4	Q64	1	1
_k5	lT5	1	1
_K5	_65	2	2
_k6	AV6	3	2
_K6	qq6	2	1
_K7	c67	2	2
_K8	zq8	1	1
_K9	T69	2	1
_KH	RqH	11	3
_kK	cvK	2	2
_KK	e6K	1	1
_Kq	Kqq	3	3
_l	pc	7	4
_L	eJ	18	18
_l_	Od1	1	1
_L_	KX1	1	1
_l$	wc$	6	4
_L$	LJ$	3	3
_L4	BX4	1	1
_L5	HX5	2	2
_L8	MJ8	2	2
_lH	xcH	5	2
_lK	QdK	3	3
_Lq	qJq	2	2
_m_	Ax1	3	2
_m$	Ju$	2	2
_M1	J3_	2	1
_M4	p34	3	2
_M5	H35	2	2
_M6	$O6	2	2
_M7	c37	2	2
_M8	wO8	4	4
_MH	uOH	7	5
_MK	e3K	2	2
_n	KjH	5	4
_N	sk	11	10
_n_	Oc1	2	2
_N$	Xk$	4	1
_N1	AV_	1	1
_N5	cv5	1	1
_N6	Ak6	4	2
_n7	cc7	2	2
_N8	Yk8	5	2
_nH	ulH	2	2
_NH	gkH	5	3
_nK	QcK	2	2
_NK	cVK	3	2
_o	br	6	6
_O$	k3$	1	1
_O1	JY_	2	2
_O5	HY5	1	1
_o6	Hr6	2	2
_o7	di7	1	1
_o8	fr8	2	2
_O8	X38	3	3
_o9	Gi9	2	2
_O9	ZY9	3	2
_oH	urH	5	1
_OH	p3H	9	4
_oK	QiK	2	2
_oq	$rq	2	2
_p	nm	13	1
_P	aL	9	9
_p_	fu1	2	2
_P_	KJ1	3	3
_P$	LL$	5	4
_P1	JJ_	2	2
_P5	$J5	2	2
_P6	$L6	2	2
_p8	fm8	1	1
_P8	ML8	2	2
_p9	Zu9	2	2
_PH	gLH	4	4
_PK	tJK	2	2
_Pq	qLq	1	1
_q_	q81	2	2
_Q_	zU1	2	2
_q5	z85	2	2
_q6	$66	3	3
_Q6	Hg6	3	3
_q7	c87	2	2
_Q7	cU7	1	1
_Q9	ZU9	2	2
_QK	dUK	2	2
_qq	K6q	3	2
_r	xi	10	5
_R_	KI1	3	3
_r$	Oi$	3	3
_R$	XS$	3	3
_r1	qn_	2	2
_r4	Tn4	3	2
_r6	Hi6	2	2
_R6	AS6	2	2
_R7	gI7	1	1
