target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__	o9	22	18
___	G41	1	1
__$	i4$	5	5
__5	x75	2	1
__6	a46	1	1
__7	y47	2	2
__8	_98	5	2
_$$	seH	3	3
_$1	Pe1	3	3
_$4	Ke7	2	2
_$7	VeK	4	4
_$H	jHH	7	2
_0_	XG1	2	2
_0$	eG$	3	3
_01	R2_	2	2
_04	UO4	2	2
_06	dG6	4	2
_0H	AZH	8	2
_1	r1	44	1
_14	K94	2	2
_15	x45	1	1
_2	pW	14	8
_2$	qW$	4	3
_21	hL_	2	2
_25	sP5	1	1
_26	gP6	3	3
_27	qP7	1	1
_28	FP8	4	4
_3	FY	5	5
_3$	af$	3	2
_35	yz5	2	2
_38	fY8	1	1
_39	Nz9	2	2
_3K	gfK	1	1
_4	o7	44	44
_44	qK4	2	2
_47	yK7	2	2
_5$	r1$	3	3
_54	q14	3	3
_58	K_8	3	2
_59	y99	2	2
_5H	M_H	5	4
_6	H6	151	9
_6$	r$$	3	3
_64	q$4	2	2
_65	CH5	2	2
_66	n$6	3	2
_69	NH9	1	1
_6H	J8H	8	7
_6q	G$q	2	2
_7	H7	28	17
_7$	aq$	5	2
_74	qq4	1	1
_75	b65	1	1
_78	zK8	3	3
_7H	fKH	9	9
_8	A8	22	3
_8$	rH$	2	2
_81	PH_	2	2
_84	KH4	2	2
_85	be_	2	2
_86	nH6	4	2
_87	NH7	3	3
_89	Ne4	2	2
_8q	GHq	1	1
_9	d4	29	29
_9$	r7$	6	4
_94	q74	2	2
_95	bK5	1	1
_96	r76	2	1
_98	f48	4	4
_A	o5	24	16
_a$	Yo$	6	5
_a1	Pi_	2	2
_A4	q_4	3	2
_A5	x15	2	2
_A6	o_6	1	1
_a8	lr8	2	2
_A9	N19	2	2
_aK	VrK	2	2
_Aq	G_q	1	1
_B$	Yp$	2	2
_b1	yS_	2	2
_B1	Eu_	2	2
_b7	YR7	2	2
_B7	wm7	3	2
_b8	pR8	3	3
_b9	NS9	3	2
_B9	Nu9	3	2
_bH	GCH	4	2
_c_	PQ1	1	1
_C$	HR$	4	2
_c1	yg_	2	2
_C1	EI_	2	2
_c4	Ng4	2	1
_c6	TQ6	2	2
_C9	NI9	3	2
_cK	kQK	2	2
_d	OQ	8	8
_D	xM	10	8
_d_	Pg1	1	1
_D$	iO$	2	2
_d1	yU_	2	2
_D6	lO6	3	2
_d7	Dg7	1	1
_D7	yO7	3	3
_D8	TM8	3	3
_d9	NU9	3	2
_dH	XQH	6	4
_dK	kgK	2	2
_dq	vgq	2	2
_E	hy	6	6
_e$	ft$	5	4
_E1	Rk_	3	3
_e6	Ts6	1	1
_e7	sa7	3	2
