target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__	K_	44	8
__4	D94	3	3
__5	K95	2	1
__6	r96	7	3
__7	Z97	1	1
__K	r3K	1	1
__Y	C3Y	2	2
_$	q$	17	2
_$4	DY4	3	3
_$5	KY5	1	1
_$6	rY6	6	4
_$7	yY7	3	3
_$Y	CzY	1	1
_0	tZ	13	8
_01	LZ1	3	3
_08	EZ8	5	2
_0K	lfK	1	1
_1_	K8_	1	1
_16	a86	7	5
_17	y87	1	1
_1K	a6K	3	3
_21	Lw1	3	3
_25	Kw5	2	2
_26	aw6	4	3
_2Y	bAY	2	2
_2z	lAz	1	1
_3	t5	26	6
_31	L51	2	2
_36	n56	5	1
_37	Z57	3	3
_3K	rKK	1	1
_3Y	SKY	2	1
_41	Lq1	3	3
_46	oq6	5	5
_47	yq7	2	2
_4K	a7K	3	3
_5	Y5	30	22
_56	rK6	10	6
_57	yK7	2	2
_58	yK8	4	2
_5K	r4K	3	3
_5Y	S4Y	2	2
_61	Le8	4	4
_64	keq	2	2
_66	se	9	2
_68	xe6	2	1
_6Y	btz	2	2
_71	L11	5	2
_74	T14	1	1
_76	a16	5	5
_77	y17	3	3
_8$	ueY	1	1
_81	L61	1	1
_8Y	Cez	2	2
_8z	le_	2	2
_9	Y9	25	20
_94	D34	2	2
_98	L38	2	2
_9K	r5K	2	2
_a1	Eo1	1	1
_a6	bo6	6	6
_a7	No7	2	2
_A7	NO7	4	2
_a8	Lo8	3	3
_A8	EO8	2	2
_aY	grY	2	2
_AY	b$Y	2	2
_az	Irz	2	2
_Az	l$z	2	2
_B	tp	5	1
_b1	EC1	4	1
_b4	wC4	3	3
_b5	qC5	2	1
_b6	BC6	5	1
_B6	xp6	4	3
_b7	NC7	2	2
_bK	mSK	1	1
_BK	ymK	2	2
_bq	NCq	2	2
_Bq	Npq	1	1
_bY	_CY	3	3
_BY	_pY	2	2
_Bz	Imz	1	1
_C5	qS5	2	1
_c6	bd6	1	1
_C6	gS6	5	3
_c8	fd8	3	3
_CK	IRK	2	2
_cY	tQY	2	2
_CY	ahY	2	2
_d	oQ	5	4
_D1	LW1	2	2
_d6	bQ6	5	3
_D6	lW6	8	2
_D7	NW7	3	3
_d8	kQ8	1	1
_D8	EW8	2	2
_DK	lPK	3	2
_dY	tUY	2	2
_DY	IXY	2	1
_Dz	IPz	2	2
_e	st	7	7
_E	$E	10	1
_e1	Et1	4	4
_E1	Ey1	5	4
_E7	Ny7	3	1
_e8	Lt8	3	3
_E9	Ky9	2	2
_eq	ktq	2	2
_EY	oVY	1	1
_ez	usz	2	2
_f_	KD_	3	2
_F1	Eg1	2	2
_f4	jD4	3	3
_f6	lD6	6	6
_f7	ND7	1	1
_f8	ED8	3	3
_F8	Vg8	3	3
_fK	lWK	3	3
_fq	NDq	2	2
_FY	KgY	2	2
_fz	IWz	2	2
_g	Kg	6	6
_G	t0	18	10
_g1	EB1	5	4
_G6	l06	2	2
_g8	VB8	5	2
_GK	lZK	1	1
_Gq	N0q	2	2
_gY	_BY	2	2
_h	$h	12	1
_H$	R2$	2	2
_h1	yL1	3	3
_h4	AL4	2	2
_h5	qL5	2	2
_h6	mL6	3	2
_H6	aj6	8	4
_h7	NL7	1	1
_h8	TL8	4	1
_hK	ZEK	1	1
_hY	ryY	1	1
_HY	b2Y	3	3
_I	ox	9	8
_i_	el_	2	2
_I_	eb_	1	1
_I4	wx4	3	2
_I5	qx5	3	3
_I6	Ix6	3	3
_I8	Tx8	2	2
_I9	Kx9	2	1
_IK	IbK	2	2
_Iq	Nxq	3	2
_iY	elY	1	1
_IY	qxY	2	2
_j	zj	12	1
_J4	DH4	3	2
_J5	qH5	3	3
_J6	L56	3	3
_j7	y27	3	1
_j8	E28	4	4
_jY	bwY	2	2
_JY	UjY	1	1
_jz	lwz	2	2
_K	e4	33	1
_k_	ev_	2	2
_K1	L41	3	2
_k4	AT4	2	2
_K7	N47	3	2
_k8	VT8	4	4
_KK	rqK	2	2
_kY	nGY	3	3
_KY	SqY	2	1
_L1	EE1	4	2
_L4	AE4	2	2
_L5	qE5	1	1
_L6	BE6	4	4
_L7	NE7	3	3
_l8	Nc8	2	2
_L8	TE8	3	3
_l9	Kc9	1	1
_lK	zcK	1	1
_LK	ZyK	1	1
_lY	edY	2	2
_LY	oNY	2	2
_m	su	8	6
_m_	eI_	2	2
_m4	oI4	3	2
_M4	DJ4	1	1
_M5	qJ5	1	1
_m6	xu6	4	3
_M6	rJ6	6	2
_m8	yu8	1	1
_m9	Ku9	2	2
_mK	RIK	2	2
_MK	lHK	3	3
_mY	_uY	2	2
_MY	UHY	1	1
_Mz	lHz	2	2
_n	nl	4	4
_N	YN	7	5
_n_	ec_	2	1
_N_	ek_	2	2
_n6	bl6	2	2
_N6	kw6	3	3
_n7	Nl7	1	1
_N7	NV7	2	2
_N8	NV8	4	4
_n9	Kl9	1	1
_nq	Nlq	2	2
_o	or	4	4
_O	qO	14	14
_o_	li_	1	1
_o1	Er1	3	2
_O6	r$6	3	3
_O7	N$7	3	2
_o8	Lr8	2	2
_OK	iYK	2	2
_Oz	lYz	2	2
_p	tm	2	2
_P	KP	10	10
_p_	eu_	3	3
_P_	_X_	2	2
_p1	Em1	2	2
_P4	jX4	3	2
_P5	qX5	1	1
_P6	lX6	4	4
_p8	ym8	3	3
_p9	Km9	1	1
_pK	yuK	2	2
_PK	lMK	2	1
_pY	_mY	2	2
_PY	IJY	1	1
_Pz	lMz	2	2
_Q	tU	7	6
_Q1	EU1	3	3
_q4	G74	2	2
_Q4	aF4	2	2
_q7	y77	4	3
_q8	S78	7	5
_Q8	TU8	3	3
_QY	KUY	2	2
_r	ni	3	3
_r1	Ei1	3	3
_R4	Oh4	2	2
_R5	qh5	2	2
_r6	bi6	2	2
_R7	Nh7	2	2
_R8	Th8	2	2
_RY	rEY	2	1
_s	aa	6	4
_s1	Ea1	2	2
_S4	OR4	2	2
_S5	qR5	2	2
_s6	Ia6	3	3
_S7	NR7	2	2
_s8	Ea8	2	2
_S8	TR8	2	2
_S9	KR9	2	1
_sq	yaq	3	3
_Sq	NRq	2	2
_sY	BoY	2	2
_SY	rLY	2	1
_sz	uoz	2	2
_t	os	7	3
_T_	eG_	1	1
_t1	Ls1	2	1
_T1	Lv1	4	2
_t6	Is6	6	6
_T8	Vv8	5	4
_TK	cGK	2	2
_tz	uaz	1	1
_U	eF	4	4
_u_	ex_	2	2
_U1	yF1	4	2
_u6	II6	3	2
_U6	bF6	4	4
_u8	TI8	1	1
_U8	yF8	5	3
_u9	KI9	2	2
_uK	SxK	1	1
_UK	zFK	1	1
_uY	qIY	2	2
_v	qv	11	7
_v4	AG4	2	2
_V4	Ak4	2	2
_V5	qk5	2	2
_v6	lG6	5	5
_V8	Nk8	6	2
_vK	c0K	3	3
_VY	nvY	2	2
_W	qW	8	8
_w5	KA5	2	2
_W5	qP5	3	2
_w8	EA8	3	3
_W8	EP8	3	3
_wK	cOK	3	2
_WK	lXK	3	2
_wO	COO	1	1
_wY	bOY	3	3
_WY	IMY	2	2
_wz	lOz	2	2
_Wz	lXz	1	1
_x	tb	3	3
_X_	KM_	3	2
_x1	Eb1	6	3
_x5	qb5	2	2
_X6	iM6	8	2
_x7	Nb7	2	2
_X7	NM7	2	2
_x8	Tb8	2	2
_X9	KM9	2	2
_XK	cJK	3	1
_xY	_bY	3	3
_XY	CRY	2	2
_Xz	lJz	3	2
_Y4	Dz4	4	3
_Y5	Kz5	2	1
_y6	pN6	4	4
_Y6	rz6	7	7
_y7	NN7	2	2
_y8	NN8	2	2
_Y8	Ez8	3	3
_yq	NNq	1	1
_YY	C_Y	2	2
_Z_	qf_	2	2
_Z1	Lf1	3	1
_Z4	wf4	2	2
_z5	K_5	2	1
_z6	r_6	8	2
_z7	Z_7	1	1
_Z7	Nf7	3	3
_z8	E_8	3	3
_ZK	lDK	3	3
_zY	C9Y	3	3
$_	Y_	21	5
