target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__	K_	21	5
__1	e31	2	2
__5	I35	2	2
__7	G97	4	2
__Y	h3Y	2	2
_$	oY	19	19
_$7	$Y7	4	2
_$8	hY8	4	4
_$q	$Yq	2	2
_$Y	yzY	2	2
_$z	P_z	2	2
_01	tf1	4	3
_04	Yf4	2	2
_06	KZ6	4	3
_08	Z08	4	2
_1	K1	4	3
_11	e61	1	1
_14	$84	1	1
_17	L87	4	4
_18	x88	6	2
_25	IO5	3	3
_26	lw6	9	3
_27	ww7	3	2
_2Y	SOY	2	2
_34	K54	3	2
_35	IK5	2	2
_36	F56	7	1
_3Y	QKY	2	2
_41	e71	4	4
_4K	PqK	2	2
_4Y	l7Y	1	1
_5	z5	31	22
_51	e41	2	2
_54	KK4	3	3
_56	UK6	4	4
_5K	XKK	2	2
_5Y	r4Y	2	2
_6_	yt9	2	1
_61	et8	3	3
_66	Ue	5	5
_67	he1	2	2
_6K	We4	2	2
_76	U16	6	5
_77	y17	3	3
_7K	W1K	2	2
_7Y	l8Y	1	1
_8_	Ne9	1	1
_81	ee8	3	3
_87	S67	4	4
_88	b68	3	3
_91	e51	3	3
_94	K34	3	3
_95	I55	2	2
_96	F36	1	1
_97	G37	3	3
_98	h38	2	2
_9Y	R5Y	1	1
_a	bo	5	5
_a1	Lo1	4	2
_A5	I$5	1	1
_a6	Eo6	4	4
_a8	er8	3	1
_A8	yA8	4	3
_AK	WAK	2	2
_aq	erq	3	3
_az	lrz	1	1
_Az	mYz	2	2
_b	pC	4	4
_b1	fC1	3	3
_B4	Dp4	2	2
_b8	MC8	3	3
_B8	jp8	3	3
_b9	yS9	2	1
_bK	OCK	1	1
_bY	BhY	2	2
_Bz	dmz	2	2
_c	pd	3	3
_C	US	13	3
_c_	VQ_	2	2
_C5	yh5	3	2
_C6	QS6	7	7
_C7	$S7	2	2
_c9	yQ9	1	1
_CK	JSK	3	3
_cY	pUY	1	1
_d	mQ	9	8
_D	lW	16	6
_D_	kP_	2	2
_D1	tP1	4	2
_d4	DQ4	2	2
_D4	YP4	1	1
_D6	jA8	3	3
_D7	jW7	4	4
_d8	AQ8	3	3
_d9	yU9	2	2
_e	Ft	7	7
_e_	ja_	2	2
_E1	Ky1	4	2
_e4	Dt4	1	1
_E4	Lm1	1	1
_E5	IN5	2	1
_e6	bt6	6	3
_E6	cy6	4	4
_E7	$L7	2	2
_E8	tN8	5	2
_eY	BaY	2	2
_EY	PNY	1	1
_f	rD	16	1
_F	xg	8	3
_f6	Kf6	5	5
_F6	ug6	4	4
_f8	yD8	5	3
_F8	Xg8	5	4
_fq	ADq	1	1
_g1	qB1	2	2
_G4	Y04	2	2
_g8	MB8	3	3
_G8	TZ8	5	3
_gY	BmY	1	1
_GY	k0Y	1	1
_h1	KL1	4	2
_h4	hE4	3	2
_H4	Kj4	2	2
_h5	My5	2	1
_H5	I25	2	2
_h6	cL6	1	1
_h8	PL8	6	5
_HK	WjK	2	2
_Hq	Ajq	2	2
_Hz	pwz	2	2
_i_	vl_	2	2
_I1	fx1	4	2
_I6	mx6	5	1
_I7	$x7	2	2
_I8	Jx8	3	3
_I9	yb9	2	2
_IK	OxK	1	1
_iz	Ulz	2	2
_J	zJ	18	7
_J_	Vj_	2	2
_j4	K24	2	2
_j5	Iw5	3	3
_J5	Ij5	2	2
_j6	c26	6	5
_J6	dH6	5	5
_J9	yj9	1	1
_JK	WHK	2	2
_jq	$2q	2	2
_jz	pOz	1	1
_Jz	m2z	2	2
_k_	vT_	2	2
_k1	qv1	4	2
_K1	Eq1	3	2
_k4	YT4	2	2
_K4	z44	2	2
_K6	F46	1	1
_k7	jv7	2	2
_K7	Z47	1	1
_kY	DTY	2	2
_KY	oqY	2	2
_l	Ic	9	9
_l_	kd_	3	2
_L1	KE1	3	2
_L5	NL5	1	1
_l6	pc6	1	1
_L6	cE6	4	4
_L7	AR7	2	2
_l8	zc8	3	3
_L8	ty8	3	3
_lK	xdK	2	2
_LY	PyY	2	2
_M	sJ	16	6
_M_	vH_	1	1
_M4	qJ4	1	1
_m6	mu6	5	5
_m8	Hu8	5	3
_mj	wCj	2	2
_MK	WJK	1	1
_mY	FxY	2	2
_mz	dIz	2	2
_Mz	SHz	2	2
_N4	Yk4	2	2
_N5	Ik5	1	1
_N6	nV6	6	3
_n8	zl8	5	2
_N9	yk9	1	1
_Nq	AVq	1	1
_nY	pdY	3	2
_O1	eY1	3	3
_O5	IY5	2	2
_o6	ya6	6	3
_O6	g$6	8	3
_oK	CiK	2	2
_OK	W$K	3	3
_oq	Yrq	3	2
_OY	yYY	1	1
_oz	liz	1	1
_p	Fm	5	3
_P	aX	18	4
_p6	mm6	6	6
_P8	yX8	3	3
_PK	TXK	2	2
_pY	BIY	2	2
_PY	kMY	2	2
_Pz	dMz	2	2
_q	Oq	18	18
_Q	hU	9	6
_q1	e11	4	2
_q4	$74	3	2
_Q4	DU4	2	2
_q6	U76	4	3
_q8	m78	2	2
_Q8	MU8	2	2
_qK	W7K	2	2
_qY	l1Y	2	2
_QY	BgY	1	1
_r	ui	3	3
_r1	Li1	2	2
_R5	ME5	2	1
_r6	pi6	6	2
_R6	cR6	7	2
_R7	FE7	2	2
_r8	en8	1	1
_R8	JR8	4	4
_RK	JRK	1	1
