target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__	s9	43	4
__6	V96	8	5
__7	h37	3	2
__A	_KA	2	2
__Y	Y5Y	2	2
_$	Ew	24	2
_$8	zw8	5	1
_04	ZX4	1	1
_07	VX7	1	1
_0q	TXq	2	2
_11	i61	4	4
_14	V64	3	2
_17	g67	4	3
_18	J88	6	2
_1A	jtY	1	1
_2	bO	10	8
_24	fA4	2	2
_26	vO6	7	7
_27	LA7	2	2
_28	zO8	3	3
_2O	KzO	2	2
_3	d5	52	24
_38	A58	4	1
_3A	OqA	2	2
_3Y	A4Y	3	2
_4	oq	77	5
_41	i71	3	3
_46	Tq6	8	8
_48	$q8	3	3
_5	cK	34	25
_5_	Mq_	1	1
_54	V44	1	1
_56	VK6	7	3
_58	OK8	6	6
_5A	O7A	1	1
_5Y	AqY	2	2
_5z	t7z	1	1
_61	it8	3	3
_64	Vtq	3	3
_68	Me6	5	4
_6z	Ks_	2	2
_7	$7	57	56
_71	i81	4	4
_76	T16	2	2
_77	I87	2	2
_7A	jeY	2	2
_84	Veq	1	1
_87	ge1	3	3
_88	M68	4	1
_8q	Te7	2	2
_8Y	Atz	1	1
_91	r51	4	4
_96	V36	5	4
_98	O38	5	5
_9q	T5q	3	3
_9Y	AKY	2	2
_a	yo	6	6
_A4	fz4	2	1
_A5	Z_5	1	1
_a6	Mo6	4	4
_A7	Ez7	3	2
_a9	Xi9	2	2
_aq	Vrq	2	2
_aY	XnY	2	2
_B	Nm	12	3
_b1	lS1	4	2
_B1	gu1	3	3
_b4	fS4	1	1
_B5	DI5	2	1
_b6	MC6	7	3
_b7	VS7	1	1
_b9	XR9	2	2
_bK	mRK	1	1
_BK	uIK	2	2
_Bq	Vuq	1	1
_BY	yxY	2	1
_c	kd	8	7
_C	hS	5	5
_c1	mQ1	1	1
_C1	iR1	3	2
_c4	WQ4	1	1
_C4	fR4	2	2
_C6	MS6	3	1
_c7	TQ7	2	2
_C7	VR7	1	1
_c8	oQ8	1	1
_cK	LUK	1	1
_CK	mhK	1	1
_cY	PFY	2	2
_Cz	Ahz	2	2
_d	P46	8	8
_D	FW	12	12
_d1	uU1	1	1
_d4	WU4	3	3
_D4	ZD4	3	3
_D5	DP5	3	3
_D6	DW6	5	4
_d8	oU8	5	5
_dY	PgY	1	1
_DY	RXY	2	2
_Dz	_Pz	1	1
_e	Vt	7	2
_E	QN	5	4
_e_	Ka_	3	2
_e6	Jt6	3	3
_E6	PN6	5	5
_e8	is8	3	3
_eK	EaK	2	2
_EK	mVK	3	2
_eY	XoY	2	2
_Ez	AVz	2	2
_f	Wk	1	1
_F	EB	6	3
_f_	M0_	2	2
_F1	gm1	3	2
_f4	ff4	1	1
_f5	D05	3	2
_F5	Du5	2	2
_F6	MB6	5	3
_F8	KB8	4	3
_fK	o0K	2	2
_FK	uuK	2	1
_fY	RWY	1	1
_FY	yIY	2	2
_fz	A0z	2	2
_G	nf	8	8
_g_	_p_	2	2
_G_	MW_	1	1
_G1	n01	4	4
_g4	fg4	2	2
_g6	MF6	6	5
_G7	V07	2	2
_g8	tg8	4	4
_G8	Af8	3	3
_g9	Xp9	2	2
_G9	XW9	1	1
_gK	LpK	1	1
_GK	oWK	1	1
_gY	DBY	2	2
_GY	RDY	1	1
_Gz	_Wz	2	2
_H	Bj	12	10
_h_	JE_	2	2
_h1	nL1	4	3
_h5	DE5	3	2
_h6	Ph6	4	3
_H6	fj6	6	4
_H7	y27	3	3
_H8	Yj8	4	2
_HK	Z2K	2	2
_hq	TLq	2	2
_hz	OEz	1	1
_Hz	t$z	2	2
_i	Nn	7	4
_i1	Bl1	4	3
_i4	Wl4	1	1
_I4	fC4	2	2
_I5	DS5	2	1
_I6	Xb6	5	5
_I8	qb8	2	2
_iA	zdA	1	1
_iY	XdY	2	2
_IY	hRY	2	2
_Iz	ASz	2	2
_j	x2	14	14
_J	QH	12	10
_J5	D25	1	1
_j8	A28	3	3
_jK	ZwK	4	2
_jq	Twq	2	2
_jY	gOY	2	2
_JY	FwY	2	2
_Jz	twz	1	1
_k6	DV6	3	3
_K6	V46	3	3
_K7	bq7	2	2
_k8	KV8	5	2
_K8	$48	2	2
_KA	O1A	1	1
_kK	mvK	2	2
_kY	EGY	1	1
_kz	Avz	1	1
_Kz	K7z	2	2
_l	yc	6	6
_L	dE	14	3
_L_	JN_	2	2
_l1	pd1	3	3
_l4	Wd4	1	1
_L4	Zy4	2	2
_l6	Hc6	6	3
_L6	PE6	5	4
_l8	rd8	4	2
_L8	ey8	2	2
_LK	mNK	4	4
_lY	PUY	2	2
_LY	hkY	2	2
_Lz	ONz	2	2
_M	FM	22	10
_m1	gI1	3	3
_m4	fI4	2	2
_m5	Dx5	1	1
_m6	Mu6	3	3
_M6	DM6	3	3
_m7	TI7	1	1
_m8	Ku8	4	4
_mq	TIq	2	2
_mY	ybY	2	1
_MY	CjY	2	2
_Mz	tjz	2	2
_n	El	11	3
_n1	pc1	3	1
_N4	ZV4	2	2
_n6	Hl6	4	4
_N6	Pk6	4	4
_N7	VV7	2	2
_n8	rc8	1	1
_N8	tV8	4	4
_nK	ydK	2	2
_NY	hvY	1	1
_Nz	ATz	2	2
_O	QA	31	2
_o1	gi1	2	2
_O6	vA6	7	7
_O7	LY7	1	1
_o8	ni8	2	2
_O8	zA8	2	2
_p	Ep	2	2
_p_	_m_	2	2
_P4	fM4	3	3
_P5	DJ5	2	2
_p6	Jp6	4	3
_P6	PX6	4	4
_p8	Kp8	1	1
_p9	Xm9	2	2
_pK	umK	1	1
_PK	aJK	3	3
_Pq	TMq	2	2
_pY	yuY	1	1
_PY	RHY	2	2
_Pz	tHz	2	2
_Q_	Kg_	2	2
_q1	i11	1	1
_Q1	mF1	2	2
_Q4	fF4	3	2
_q6	T76	5	5
_q7	b17	2	2
_Q8	tF8	5	5
_Q9	Xg9	1	1
_QK	LgK	2	2
_R	lL	11	11
_R_	Jy_	2	2
_r1	pn1	3	3
_r4	Zn4	2	2
_R4	ZE4	2	2
_R6	PL6	1	1
_r8	nn8	1	1
_RK	uyK	3	3
_Rq	TEq	2	2
_rY	XcY	2	2
_Rz	Oyz	1	1
_s	ya	9	8
_S	mR	7	2
_s_	Kr_	2	1
_S1	nh1	4	2
_S7	Vh7	2	2
_S8	qR8	5	2
_s9	Xr9	1	1
_sK	ErK	2	2
_sq	Voq	2	2
_Sz	OLz	2	2
_t	Vs	10	7
_t_	Ko_	2	2
_T1	nZ1	2	2
_T4	ZZ4	1	1
_T5	Df5	3	2
_t6	Ms6	4	4
_T6	XG6	4	4
_t8	ia8	4	3
_TK	ofK	1	1
_tY	XrY	2	2
_TY	E0Y	1	1
_u	RI	1	1
_U	Ng	6	6
_U_	_B_	2	2
_U1	pp1	4	3
_U4	fp4	3	2
_u5	Db5	2	2
_U5	XB5	2	2
_u6	wI6	7	7
_U6	Jg6	7	3
_u7	Vx7	1	1
_u8	KI8	4	3
_U9	XB9	2	2
_Uq	Vpq	2	2
_uY	RCY	2	2
_UY	DmY	1	1
_V	av	17	7
_v_	JG_	2	1
_V_	MZ_	2	2
_V1	nG1	2	2
_v4	Zv4	2	2
_V4	ZG4	2	2
_V6	Wv6	2	2
_v8	_T8	5	2
_V8	_v8	3	3
_vq	Tvq	2	2
_vY	EZY	2	2
_VY	EfY	2	2
_vz	AGz	1	1
_w4	fO4	3	3
_W5	DX5	2	2
_w6	G$6	5	4
_W6	WD6	4	4
_w7	EO7	3	3
_WY	RMY	2	2
_X	nJ	23	13
_x5	DC5	2	2
_x6	Mx6	7	7
_X6	DJ6	3	1
_x7	Vb7	2	2
_X7	TH7	2	2
_xK	uCK	2	1
_Xq	THq	1	1
_xY	RSY	1	1
_XY	C2Y	2	2
_Xz	e2z	2	2
_y	ly	13	1
_Y4	f_4	1	1
_y7	VN7	1	1
_Y7	E_7	4	4
_YA	_3A	2	2
_yK	mkK	2	2
_YK	Z_K	2	2
_YY	g3Y	2	2
_yz	Okz	2	2
_Z	c0	18	10
_Z_	MD_	1	1
_z1	n91	2	1
_Z5	DD5	1	1
_z6	N_6	3	3
_Z6	D06	1	1
_z7	E97	3	3
_Z8	A08	3	3
_zY	F5Y	2	2
_ZY	RPY	1	1
_Zz	_Dz	2	2
$_1	e31	1	1
$_6	h96	7	1
$_7	b37	2	2
$$	Fw	28	3
$$7	b$7	4	3
$0	nP	20	2
$0Y	uJY	2	2
$11	e61	4	4
$14	h64	2	2
$15	LeK	1	1
$17	l67	3	3
$18	f88	3	3
$1A	DtY	2	2
$1K	N6K	2	2
$2	pO	29	1
$24	kA4	3	3
$26	EO6	4	3
$28	jO8	3	3
$2O	$zO	2	2
$3	o5	26	6
$3_	Z4_	1	1
$31	q51	4	2
$34	hK4	3	3
$36	h56	3	3
$37	IK7	3	3
$3Y	J4Y	3	2
$41	e71	4	3
$45	E15	1	1
$46	Lq6	8	5
$47	p77	3	3
$48	Xq8	4	4
$4A	M8A	1	1
$5_	Zq_	1	1
$54	h44	3	2
$55	kq5	1	1
$56	hK6	7	6
$57	I47	3	3
$5K	N4K	2	2
$5Y	JqY	3	2
$64	htq	3	3
$67	lt1	2	2
$68	Ze6	5	5
$6z	$s_	2	2
$7	j7	105	6
$71	e81	4	4
$74	h84	3	2
$7A	DeY	2	2
$84	heq	3	2
$86	L66	8	3
$8K	Ne4	2	2
$91	q31	4	3
$97	I57	1	1
$98	M38	3	3
$9A	j4A	1	1
$9Y	JKY	2	2
$a	Co	6	5
$A4	kz4	3	3
$A5	N_5	2	1
$a6	Zo6	5	2
$A7	bz7	3	3
$A8	wY8	4	1
$a9	Gi9	2	2
$AY	l9Y	2	2
$b	IC	13	3
$B	Sm	12	8
$b4	kS4	2	2
$B4	yu4	2	1
$B5	TI5	2	1
$B6	Zm6	3	2
$b7	hS7	1	1
$b9	GR9	1	1
$bK	rc	1	1
$bY	IhY	2	2
$BY	CxY	1	1
$Bz	JIz	3	3
$c	Sd	11	5
$C	IS	9	8
$c1	QQ1	5	5
$C4	kR4	1	1
$C5	Th5	1	1
$c6	Wd6	4	4
$C6	ZS6	2	2
$C7	hR7	4	3
$C8	OS8	6	6
$CK	QhK	2	2
$cY	vFY	3	3
$Cz	Jhz	1	1
$d	hQ	7	5
$D	nW	9	9
$d1	UU1	3	3
$d4	VU4	2	2
$d6	fQ6	2	2
$D6	TW6	8	2
$dY	vgY	1	1
$DY	uXY	2	2
$Dz	wPz	2	2
$E	oN	10	8
$e_	$a_	3	2
$e1	ls1	3	3
$e6	Zt6	3	3
$E6	TN6	6	2
$E7	hk7	2	2
$e8	es8	2	2
$E8	AN8	2	2
$eK	baK	2	2
$EK	QVK	3	2
$eY	GoY	1	1
$EY	ITY	2	2
$Ez	JVz	2	2
$f	KG	8	5
$F	bB	5	5
$f1	tf1	2	1
$F1	cm1	1	1
$f4	kf4	3	2
$f5	T05	3	2
$F6	ZB6	4	4
$f8	JZ8	4	4
$F8	$B8	4	4
$fK	KfK	2	2
$FK	UuK	3	3
$fY	uWY	2	2
$FY	CIY	2	2
$fz	J0z	2	2
$G	ef	12	5
$g_	$p_	2	2
$G_	ZW_	1	1
$g2	pm$	1	1
$g4	kg4	1	1
$G6	Zf6	5	5
$g9	Gp9	2	2
$G9	GW9	3	3
$GK	K0K	1	1
$gY	TBY	2	2
$Gz	JWz	2	2
$h	nh	5	5
$H	dj	15	15
$h_	fE_	3	3
$h1	tL1	2	2
$h5	TE5	2	2
$H6	Vj6	8	7
$h7	hL7	2	2
$H7	C27	2	2
$h8	Ah8	3	3
$H8	Hj8	3	3
$hK	UEK	3	3
$HK	N2K	2	2
$hq	LLq	3	2
$HY	n$Y	2	2
$hz	MEz	2	2
$Hz	Ywz	2	2
$i	Sn	8	5
$I	bb	11	3
$I4	kC4	1	1
$I5	TS5	2	2
$I6	Gb6	5	3
$I7	hC7	2	2
$i8	tl8	5	4
$I8	Ob8	1	1
$IK	USK	2	1
$iY	GdY	1	1
$IY	IRY	3	2
$Iz	JSz	2	2
$j	g2	15	13
$j5	T$5	3	3
$J5	T25	2	2
$j6	k26	5	5
$j7	bw7	3	3
$J7	Cj7	4	2
$j8	J28	1	1
$jK	NwK	2	2
$jY	lOY	1	1
$JY	nwY	1	1
$Jz	Y2z	2	2
$K	zK	61	5
$K1	q41	2	2
$k6	TV6	7	2
$k8	$V8	5	3
$K8	X48	4	4
$KA	M1A	2	2
$kK	QvK	3	3
$kq	LTq	1	1
$kY	bGY	1	1
$kz	Jvz	1	1
$Kz	$7z	2	2
$l	Cc	5	5
$L_	fN_	2	2
$l7	Ld7	2	2
$L7	hy7	2	2
$l8	qc8	2	2
$L8	AE8	4	4
$LK	QNK	1	1
$lY	vUY	2	2
$LY	IkY	1	1
$Lz	MNz	2	2
$m	Ru	9	9
$M	rM	11	10
$m1	lI1	1	1
$M5	TH5	2	2
$m6	Zu6	4	4
$m7	LI7	2	1
$m8	$u8	4	4
$M8	JM8	2	2
$mq	LIq	1	1
$Mz	YHz	3	2
$N	ok	8	8
$N4	NV4	2	2
$n6	Wl6	4	4
$n8	ql8	3	3
$NY	IvY	1	1
$Nz	JTz	2	2
$o1	li1	4	3
$O1	sY1	1	1
$O6	EA6	6	3
$O7	IY7	3	3
$O8	jA8	4	3
$oK	bnK	3	3
$OK	NYK	1	1
$p	bp	10	8
$p1	cB1	3	3
$P4	kM4	3	2
$p5	Gm5	2	2
$P5	TJ5	2	2
$P6	vX6	4	4
$p9	Gm9	2	2
$pK	UmK	2	2
$Pq	LMq	3	3
$PY	uHY	2	2
$q	Xq	49	37
$Q	LU	3	3
$Q_	$g_	3	2
$q1	e11	3	3
$Q1	QF1	3	3
$Q4	kF4	2	1
$q6	L76	4	4
$Q8	KU8	2	1
$Q9	Gg9	2	2
$QY	GpY	2	2
$r	bi	7	7
$R_	fy_	1	1
$r1	cn1	3	3
$r4	Nn4	1	1
$r6	fi6	3	3
$R6	vL6	1	1
$r8	tn8	5	3
$rK	blK	3	3
$Rq	LEq	1	1
$rY	GcY	3	3
$RY	INY	1	1
$s_	$r_	1	1
$S1	th1	4	3
$S7	hh7	3	2
$S8	OR8	4	4
$s9	Gr9	2	2
$sK	brK	2	2
$sY	GiY	1	1
$Sz	MLz	2	2
$t_	$o_	2	2
$T_	Zf_	3	2
$T5	Tf5	3	2
$t6	Zs6	3	3
$t7	La7	1	1
$t8	ea8	2	2
$T8	wG8	2	2
$TA	w0A	2	2
$TK	KZK	1	1
$Tq	LZq	3	3
$tY	GrY	2	2
$TY	b0Y	2	2
$U	Sg	10	4
$U_	wB_	2	2
$U1	cp1	1	1
$u4	kx4	2	2
$U4	kp4	3	3
$u5	Tb5	2	2
$U5	GB5	2	1
$U6	Zg6	5	5
$u7	hx7	3	2
$u8	$I8	2	2
$U8	Ag8	3	3
$UK	xBK	1	1
$uY	uCY	2	2
$v	iT	4	4
$V	KT	15	1
$v_	fG_	2	2
$V_	fZ_	3	3
$v1	tv1	2	2
$V1	tG1	3	3
$v4	Nv4	2	2
$V4	NG4	2	2
$V6	Vv6	4	4
$v8	wT8	4	4
$V8	wv8	4	3
$VK	QZK	1	1
$Vq	LGq	1	1
$vY	bZY	3	3
$VY	bfY	1	1
$vz	JGz	2	2
$W	dD	18	2
$w4	kO4	3	2
$W4	NP4	3	3
$w6	y$6	5	5
$W6	TD6	7	1
$WY	uMY	2	2
$x	Sx	6	6
$X	sJ	13	12
$x4	kb4	2	1
$x5	TC5	2	2
$X5	Tj5	2	1
$X6	TJ6	2	2
$x7	hb7	3	1
$X7	LH7	4	2
$XK	ejK	2	2
$XY	B2Y	2	2
$Xz	Ajz	2	2
