target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__	Y_	19	19
__1	x31	2	2
__2	u42	1	1
__4	D34	3	3
__7	k37	2	2
__A	HKA	2	2
__Y	K5Y	2	2
__z	K5z	2	2
_$4	Z24	3	3
_$6	Lw6	8	3
_$A	eYA	2	2
_$O	rYO	1	1
_0	sP	18	4
_06	vP6	6	2
_0q	VMq	2	2
_0Y	oJY	3	2
_1	q1	179	43
_11	x61	1	1
_14	G64	2	2
_16	p86	1	1
_17	h67	4	2
_18	e68	6	3
_1A	ytY	2	2
_1K	G6K	2	2
_1z	ze_	3	2
_21	IA1	2	2
_24	ZA4	2	2
_26	SO6	6	4
_27	bA7	2	2
_28	QA8	3	3
_2K	GAK	1	1
_2Y	qYY	2	2
_3	z3	52	24
_36	C56	5	5
_37	LK7	1	1
_38	nK8	5	3
_3K	GKK	2	2
_41	x71	1	1
_44	f74	4	3
_46	Uq6	3	3
_4A	L8A	2	2
_4K	G7K	2	2
_55	Qq5	1	1
_56	uK6	4	4
_5A	L7A	1	1
_6_	Ls9	2	2
_66	pe	3	3
_67	ht1	3	3
_68	qe6	6	4
_6A	SaY	2	2
_6z	vs_	2	2
_71	x81	4	4
_74	G84	3	3
_78	_18	1	1
_7A	yeY	3	3
_7K	G8K	2	2
_7z	z6z	2	2
_81	xe8	2	2
_84	Teq	2	1
_86	U66	5	5
_88	te6	1	1
_94	W54	2	2
_96	C36	6	4
_97	k57	3	3
_98	o58	4	4
_9A	W4A	2	2
_9z	KKz	2	2
_a	Bo	11	5
_a1	Wr1	1	1
_a4	vr4	2	2
_A6	hY6	7	6
_A7	Iz7	2	2
_A8	nz8	3	3
_AY	K_Y	2	2
_b_	kh_	1	1
_B1	Iu1	4	1
_b4	ah4	2	2
_B4	Ku4	3	3
_B5	bx5	2	2
_b6	DC6	5	5
_B6	Om6	3	3
_b7	yS7	2	1
_B7	Eu7	2	2
_b8	bS8	4	3
_BY	QIY	3	2
_c	Qa	4	4
_C	lS	1	1
_C_	LR_	2	2
_c1	GQ1	2	2
_C1	Ch1	4	3
_c4	HQ4	2	1
_c8	pQ8	5	4
_c9	Lg9	3	3
_Cq	Vhq	4	2
_cY	mUY	2	2
_Cz	oLz	1	1
_d	SQ	6	1
_d_	vU_	2	1
_d4	Hg4	1	1
_D4	O04	2	2
_D6	GW6	3	2
_d8	gg8	2	2
_D8	g08	3	3
_DY	sMY	1	1
_Dz	oMz	2	2
_e	Bt	10	6
_E	cN	5	5
_E_	Lv_	3	3
_e1	hs1	3	3
_E1	Ik1	5	3
_e6	qt6	4	4
_E6	DN6	7	1
_e8	Qs8	1	1
_e9	La9	2	2
_EK	fkK	1	1
_eY	hoY	2	2
_EY	QVY	1	1
_f1	IZ1	3	3
_f4	OZ4	1	1
_F4	Km4	1	1
_f5	bD5	3	3
_F5	bu5	1	1
_F6	AB6	3	2
_F7	Nm7	2	2
_f8	UZ8	3	3
_fK	vZK	3	3
_Fq	Tmq	2	2
_fY	UWY	2	2
_FY	QxY	1	1
_fz	rWz	2	2
_g	yi	5	4
_g_	kF_	2	2
_G1	ID1	3	3
_G4	OD4	1	1
_g5	bF5	2	2
_G5	bW5	3	3
_G6	fZ6	5	5
_G8	UD8	3	3
_gK	JpK	1	1
_gY	QBY	1	1
_GY	U0Y	2	2
_h	Uh	7	2
_h_	LL_	2	2
_h1	CR1	3	3
_h4	aL4	2	2
_h7	yR7	3	2
_H8	g$8	2	2
_HK	G$K	1	1
_HO	rOO	2	2
_hz	oyz	2	2
_i	bn	5	3
_I	rb	5	5
_I1	bC1	2	2
_i4	Hl4	2	2
_I4	aS4	3	2
_i6	On6	3	3
_I7	yC7	2	2
_iY	bdY	1	1
_J5	C$5	2	2
_J7	vj7	3	3
_j8	gw8	3	3
_jA	eAA	1	1
_JK	GjK	3	3
_k	nv	14	7
_k_	LT_	2	2
_k1	IV1	3	3
_k6	Gv6	6	5
