target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__8	$_8	3	3
__H	x_H	4	4
_$	q$	314	119
_$$	TH$	5	2
_$4	we7	2	2
_$5	Xt1	1	1
_$6	ge8	4	2
_$7	PeK	1	1
_$9	pt4	3	3
_$H	gHH	5	5
_$q	he6	3	1
_0	UZ	7	7
_06	uG6	2	2
_0H	NZH	4	4
_0K	JGK	2	2
_14	D44	3	3
_16	B46	3	3
_19	p79	3	3
_1H	C9H	6	5
_2_	JL1	3	3
_25	fL5	1	1
_26	xP6	3	3
_28	HW8	2	2
_2K	XPK	2	2
_3	q3	4	4
_3_	Lf1	1	1
_31	Sf_	2	2
_35	Gf5	2	2
_36	Bz6	3	2
_38	ez8	2	2
_3K	GzK	3	1
_4$	T7$	5	3
_41	Cq_	2	2
_46	gK6	2	2
_48	K78	3	3
_5	s1	21	3
_5$	G1$	6	5
_55	v95	3	2
_56	B_6	2	2
_58	q18	3	3
_59	p99	3	2
_5H	I1H	3	3
_5q	y_q	2	1
_65	wH5	2	1
_66	g$6	3	3
_67	L$7	2	2
_68	K88	5	3
_6H	p8H	4	4
_6K	y$K	2	2
_6q	y$q	2	2
_7	w7	40	29
_7$	ZK$	1	1
_75	w65	2	2
_78	qK8	4	4
_8$	T$$	4	4
_81	Ce9	2	2
_85	Xe1	2	2
_89	pe4	2	2
_8H	B$H	6	6
_8q	hHq	2	2
_9$	P4$	5	3
_95	wK5	1	1
_96	B76	3	3
_98	K48	5	2
_a	go	3	3
_a$	qo$	2	2
_A4	W14	2	2
_A5	v_5	2	2
_a7	Dr7	1	1
_A9	m_9	1	1
_AH	I5H	6	5
_AK	y1K	2	2
_b	k$H	2	2
_B	Bp	1	1
_B_	Ju1	2	2
_b$	zC$	3	3
_B4	Fu4	1	1
_b6	IR6	3	3
_b7	MR7	3	3
_B7	Mm7	1	1
_bH	ZCH	4	4
_BK	OmK	3	2
_c	gQ	5	1
_c_	Jg1	2	2
_C_	LI1	1	1
_c$	_Q$	5	2
_c1	Gg_	2	2
_c4	Bg4	3	2
_c6	hd6	2	2
_C7	DS7	1	1
_C8	$R8	3	3
_c9	Cg9	2	2
_C9	bI9	1	1
_cH	QD$	3	3
_cK	LdK	3	3
_d_	JU1	2	2
_d$	fd$	3	2
_D$	WM$	6	2
_d1	GU_	2	2
_d4	BU4	1	1
_D6	BO6	3	3
_d7	Dg7	1	1
_D7	XO7	1	1
_D8	rO8	1	1
_dH	VdH	5	4
_DH	bMH	6	2
_dK	LgK	1	1
_DK	JOK	3	1
_e_	Xa1	2	2
_E_	Lk1	2	2
_e1	La_	2	2
_E4	ck4	2	2
_E5	mV5	2	2
_e6	hs6	3	3
_E6	BN6	3	3
_e7	Ds7	1	1
_E7	wN7	2	2
_e8	cs8	3	3
_E9	bk9	3	2
_f	ef	17	2
_F	FB	3	3
_F_	Jm1	2	2
_F$	zB$	3	3
_F1	Gm_	2	2
_f5	Z55	2	2
_f6	BA6	3	3
_f7	JA7	2	2
_F7	Op7	1	1
_fH	IfH	4	3
_fK	NAK	3	3
_FK	OpK	2	2
_g	mU	12	4
_g_	JB1	2	2
_G_	JP1	2	2
_g$	WRH	2	2
_g1	GB_	1	1
_G1	hP_	2	2
_g4	BB4	2	2
_g6	hF6	2	1
_G6	uW6	3	2
_g7	MF7	3	2
_G7	XW7	3	3
_G8	H28	5	4
_GK	JWK	3	3
_h	iE	9	9
_h_	LN1	2	2
_H_	Ls_	3	3
_h$	zE$	3	3
_H$	TeH	3	3
_h1	GN_	2	2
_H5	Xs1	2	2
_h6	By6	2	2
_H6	ct8	2	2
_HH	Be	6	6
_hK	OyK	2	2
_Hq	ht6	2	2
_i	pn	10	5
_i_	Xc1	1	1
_I_	Ly1	2	2
_I1	Gy_	2	2
_I4	cy4	3	2
_I7	wE7	1	1
_i8	$n8	4	4
_I9	by9	3	2
_iH	vnH	4	4
_IK	OEK	4	2
_j_	PM1	2	2
_J_	Jw1	2	2
_j$	Tw$	1	1
_J$	TX$	6	2
_j1	SM_	1	1
_J1	Ew_	1	1
_j5	fM5	2	2
_J6	Bj6	4	1
_j7	XD7	3	3
_J8	ej8	2	2
_jH	bwH	6	6
_JH	GSH	4	4
_Jq	yjq	3	1
_K	YK	30	30
_k_	JT1	2	2
_k$	zV$	2	2
_K$	Zq$	1	1
_k1	kT_	1	1
_k5	m05	1	1
_K5	w85	3	2
_k7	wv7	3	3
_k8	qV8	3	3
_K8	Kq8	5	5
_k9	bT9	3	2
_kH	TVH	4	4
_KH	BqH	7	4
_kK	OvK	1	1
_l	gc	6	5
_L	$L	7	1
_l_	Xd1	2	2
_L_	Jj1	2	2
_l$	qc$	4	3
_l1	Gd_	2	2
_L4	YX4	2	2
_L5	fj5	2	2
_L7	XX7	4	3
_l8	$c8	3	3
_L8	HJ8	3	2
_l9	Cd9	2	2
_lH	VcH	3	3
_LH	IJH	4	4
_lK	LQK	1	1
_LK	XXK	2	2
_m_	Jb1	2	2
_M$	LO$	3	2
_m4	Qb4	1	1
_M6	B36	1	1
_m7	wx7	1	1
_M7	J37	1	1
_m8	$u8	4	4
_M8	r38	1	1
_m9	bb9	3	2
_mH	GuH	3	3
_n	Ql	10	5
_n_	XQ1	2	1
_N_	Jv1	2	1
_n$	Kl$	5	1
_N$	zk$	3	3
_n6	hc6	2	2
_N6	uV6	1	1
_n7	Dc7	2	2
_N7	wV7	1	1
_N8	$k8	4	2
_N9	bv9	3	2
_NK	OVK	1	1
_o	Qr	6	6
_O_	Pz1	2	2
_o$	Kr$	4	3
_O$	P3$	3	3
_O1	Sz_	2	2
_o6	hi6	1	1
_O6	BY6	3	3
_O7	JY7	2	2
_o8	oi8	1	1
_oH	TrH	3	3
_OH	I3H	6	2
_oK	LiK	2	2
_OK	LYK	2	2
_P	$P	10	1
_p_	Jx1	1	1
_P_	JX1	2	2
_p$	zm$	3	3
_P$	YL$	2	2
_P5	fX5	1	1
_p6	Ru6	1	1
_P6	xJ6	2	2
_p7	Mu7	3	2
_P7	XJ7	1	1
_P8	HL8	3	3
_p9	bx9	3	3
_pH	WmH	3	3
_PH	ELH	9	3
_Q	Bg	5	5
_Q_	JF1	2	2
_Q1	GF_	1	1
_q5	w$5	2	2
_q8	q68	3	3
_qH	B6H	10	7
_QH	TgH	2	2
_qK	y8K	2	2
_QK	LUK	1	1
_r	di	6	6
_R	lS	14	5
_r_	Xl1	2	2
_R_	Lh1	1	1
_r$	Ki$	3	3
_r7	Dn7	2	2
_R7	DI7	3	2
_R8	$S8	5	2
_R9	bh9	3	2
_rH	viH	3	3
_RH	VSH	6	5
_rK	LnK	2	2
_RK	OIK	2	2
_s	Ua	9	3
_s_	Xr1	2	2
_S_	LE1	2	2
_S$	zI$	4	3
_s4	pr4	3	2
_s6	ho6	2	2
_s7	Do7	3	2
_S9	bE9	3	2
_sK	LoK	2	2
_t	Fs	6	5
_t_	Xo1	2	2
_t$	$s$	1	1
_T$	f0$	2	2
_T1	NG_	2	2
_t6	ha6	3	3
_t7	Da7	2	2
_t8	na8	3	2
_T8	H08	3	3
_tH	TsH	4	4
_tq	yaq	3	2
_u_	JC1	2	2
_U_	Xp1	2	2
_U$	YF$	1	1
_U1	Tp_	1	1
_U6	hB6	3	3
_u7	Db7	1	1
_U7	OB7	1	1
_u8	$x8	2	2
_u9	bC9	3	2
_U9	Cp9	3	2
_uH	ZxH	6	6
_UH	ZFH	4	4
_UK	jBK	2	2
_v	dT	17	17
_V_	J01	2	2
_v$	fT$	1	1
_V$	fv$	3	2
_v1	kZ_	2	2
_V1	k0_	2	2
_V5	FZ5	1	1
_V6	mT6	3	3
_V7	wT7	2	2
_v8	HT8	4	2
_V8	qv8	4	3
_vH	kTH	4	4
_VK	LTK	2	2
_W	rP	15	9
_w_	PO1	1	1
_w$	WD$	6	2
_W$	YP$	3	3
_w4	YM4	2	1
_W4	AL4	1	1
_w6	BM6	4	3
_W6	xL6	4	3
_W7	XL7	2	2
_w8	iM8	5	4
_W8	HP8	4	4
_wH	bDH	5	5
_wK	JMK	1	1
_wz	v3f	1	1
_x	Bb	4	3
_x_	LR1	2	2
_X_	PD1	2	2
_x$	zb$	4	3
_x4	QR4	1	1
_X4	Yw4	2	2
_X5	fD5	3	3
_X6	Fw6	3	2
_X7	Xw7	1	1
_X8	ew8	2	2
_XH	bjH	4	4
_XK	JwK	1	1
_Y	az	32	6
_y_	PV1	1	1
_y$	zN$	4	1
_Y$	Wz$	5	3
_y1	GV_	2	2
_Y1	hA_	3	3
_y7	wk7	2	2
_Y8	vk6	1	1
_y9	bV9	3	2
_yH	GNH	2	2
