target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__	e9	27	10
__4	z94	3	3
__6	I96	4	4
__8	P98	3	3
__Y	E5Y	2	2
_$	OA	29	6
_$8	WO8	5	1
_$K	N$K	2	2
_0	UZ	11	6
_0_	Wf_	3	3
_01	tf1	1	1
_04	qZ4	4	3
_07	nf7	4	4
_0K	WfK	3	3
_0q	Qfq	1	1
_0z	tDz	1	1
_11	w81	1	1
_16	u86	6	5
_18	w88	3	3
_1Y	Lez	2	2
_1z	X6z	2	2
_2	ew	21	1
_28	Pw8	2	2
_2K	ZAK	1	1
_2z	XAz	2	2
_3	t5	52	24
_36	B56	8	7
_37	QK7	2	2
_38	H58	6	2
_3K	UKK	2	2
_44	zq4	3	2
_45	e15	2	2
_47	d77	3	3
_48	Oq8	4	4
_4O	k1$	1	1
_51	wK1	2	2
_54	zK4	3	3
_56	pK6	5	5
_57	Q47	4	4
_58	HK8	4	4
_5K	U4K	2	2
_5q	n4q	1	1
_61	we8	4	4
_64	zeq	2	2
_66	ue	7	3
_67	lt1	3	1
_6Y	hsz	2	2
_71	w11	3	3
_77	l87	2	2
_7K	s8K	3	2
_7O	k6$	1	1
_7Y	L6Y	2	2
_7z	X8z	2	2
_84	z64	3	1
_8O	ftY	2	2
_8Y	htz	2	2
_91	j31	2	2
_94	z34	2	2
_96	m36	1	1
_9K	V5K	2	2
_9Y	EKY	2	2
_A	OO	21	14
_a1	qo1	4	3
_A4	q$4	3	3
_a6	fo6	3	3
_A6	b$6	7	7
_a8	Ao8	3	3
_aY	hiY	2	2
_AY	yzY	2	2
_az	Riz	2	2
_b	IC	13	2
_B_	Xm_	2	2
_B1	Xp1	4	3
_B6	Tp6	6	5
_b7	nS7	3	3
_B7	lm7	2	2
_b8	fC8	2	2
_B8	Mp8	3	3
_b9	_S9	2	1
_B9	_m9	2	2
_bY	NRY	2	2
_c	Cd	10	4
_C	xS	8	8
_c1	Yd1	3	3
_C4	eR4	3	3
_C5	jR5	2	1
_c6	Wd6	5	3
_C6	TS6	4	4
_C7	nR7	2	2
_c8	Jd8	3	2
_Cq	QRq	2	2
_cY	yUY	2	2
_CY	NhY	2	2
_cz	lUz	3	2
_d	bQ	10	10
_D_	PP_	2	2
_D5	JP5	3	2
_d7	lU7	2	2
_d8	JQ8	3	3
_D8	OW8	3	1
_dK	KUK	1	1
_DK	fPK	1	1
_Dq	FPq	1	1
_dY	yFY	2	1
_DY	yXY	1	1
_dz	lFz	2	2
_Dz	sXz	1	1
_E	dy	15	7
_E_	WN_	2	2
_e1	os1	4	2
_e4	es4	2	2
_e6	Wt6	4	3
_E6	Ly6	3	3
_E7	nN7	1	1
_eK	aaK	2	2
_eY	faY	1	1
_EY	kVY	2	2
_f	QD	9	4
_F	bg	8	8
_f1	HE1	4	4
_F1	Mg1	3	3
_f5	JW5	3	2
_f6	hD6	4	4
_f7	nW7	3	2
_f8	OD8	5	3
_fK	WWK	2	2
_FK	qBK	1	1
_fY	EPY	2	2
_fz	tPz	1	1
_Fz	epz	1	1
_g	bB	7	6
_G	g0	17	8
_G4	q04	2	2
_g6	vB6	6	6
_G8	j08	4	3
_g9	_p9	1	1
_gK	$pK	1	1
_GK	MZK	3	3
_gY	VmY	2	2
_GY	yfY	1	1
_h	FL	7	5
_h1	AL1	3	2
_h6	NL6	6	3
_H6	Ij6	8	8
_h7	nE7	2	2
_h8	ZL8	3	3
_h9	qP_	2	2
_HA	KwO	1	1
_HK	Z2K	2	2
_hq	QEq	2	2
_hY	hyY	1	1
_HY	ywY	2	2
_Hz	X2z	2	1
_i	gn	6	6
_I4	eb4	2	2
_I5	jb5	2	2
_i6	Zn6	5	2
_i7	ll7	1	1
_I7	lb7	3	2
_I8	Dx8	4	4
_i9	_l9	1	1
_IK	wbK	2	2
_Iq	Qbq	2	2
_iY	NcY	2	2
_IY	NCY	1	1
_iz	Lcz	1	1
_j	o2	14	3
_j5	jw5	2	2
_jj	U_j	1	1
_jK	fwK	3	3
_jY	NAY	2	2
_JY	k2Y	2	2
_jz	Xwz	2	2
_K	KK	69	3
_k1	tv1	4	2
_K1	w41	3	3
_k6	ET6	3	3
_k7	nv7	2	2
_K7	dq7	1	1
_K8	A48	2	2
_KK	sqK	2	2
_l	bc	4	1
_L	FE	13	2
_L1	_E1	4	3
_L5	Jy5	2	2
_L7	ny7	2	2
_Lq	Qyq	2	2
_lY	yQY	1	1
_LY	LNY	1	1
_lz	lQz	2	2
_m	pu	12	3
_M	sJ	4	4
_m1	Mu1	3	3
_M4	qJ4	1	1
_M5	JH5	1	1
_m6	Tu6	5	5
_M6	CJ6	4	3
_M7	oH7	3	2
