target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__1	K_1	3	3
__5	e95	3	2
__6	q_6	6	2
_$	Y$	26	3
_$6	sw6	7	3
_$7	K$7	3	3
_0Y	K0Y	2	2
_0z	K0z	1	1
_11	K11	4	4
_14	q14	3	2
_2	z2	32	16
_21	K21	3	3
_24	q24	4	3
_34	q34	2	2
_37	K37	4	3
_38	z38	4	3
_4q	q4q	1	1
_54	q54	3	2
_56	q56	7	7
_6z	K6z	2	2
_71	K71	4	4
_7K	q7K	2	2
_84	q84	3	2
_8Y	K8Y	1	1
_9	z9	25	1
_91	K91	4	3
_96	q96	6	6
_97	K97	3	3
_98	z98	4	4
_a	Ya	7	7
_a1	Ka1	3	3
_A4	qA4	2	1
_a6	za6	5	4
_a7	qa7	1	1
_A7	KA7	2	1
_a9	Ka9	2	2
_AK	qAK	1	1
_AY	KAY	2	2
_b	qb	10	10
_b1	Kb1	4	2
_B5	KB5	1	1
_b6	eC6	5	3
_b7	qb7	1	1
_b9	Kb9	1	1
_BK	qBK	2	2
_Bq	qBq	3	3
_BY	KBY	2	1
_bz	Kbz	2	2
_C	qC	9	5
_c1	Kc1	4	2
_C4	qC4	2	2
_C7	qC7	2	2
_CK	qCK	2	2
_Cz	KCz	2	2
_D5	KD5	3	3
_D6	eW6	4	3
_dY	KdY	2	2
_DY	KDY	2	2
_Dz	KDz	2	2
_e_	Ke_	3	2
_e6	ze6	4	4
_E6	eN6	4	4
_EK	qEK	2	2
_EY	KEY	1	1
_Ez	KEz	2	2
_f	qf	16	4
_f_	Kf_	2	2
_f4	qf4	3	2
_f5	Kf5	3	2
_F5	KF5	2	1
_f7	qf7	3	2
_Fq	qFq	2	2
_FY	KFY	2	2
_G	qG	13	12
_g_	Kg_	2	2
_G4	qG4	2	2
_G5	KG5	1	1
_g6	zg6	6	5
_g9	Kg9	2	2
_G9	KG9	2	2
_GY	KGY	2	2
_h	sR	11	4
_H	zH	25	3
_h_	Kh_	2	2
_h5	Kh5	3	2
_H6	sj6	4	4
_hK	qhK	2	2
_Hz	KHz	2	2
_i	Yi	8	8
_I5	KI5	3	2
_I6	eb6	5	2
_J	KJ	15	13
_j6	s$6	6	5
_J6	sH6	7	7
_jq	qjq	2	2
_jY	KjY	2	2
_JY	KJY	2	2
_Jz	KJz	2	2
_k	ev	9	7
_k1	Kk1	1	1
_K4	qK4	2	1
_k6	ev6	4	4
_K6	qK6	7	6
_K7	KK7	2	2
_K8	zK8	4	4
_kY	KkY	2	2
_Kz	KKz	2	2
_L	ay	13	1
_L_	KL_	2	2
_L4	qL4	2	2
_L6	ey6	5	5
_LK	qLK	4	3
_M	KM	8	8
_M6	sX6	5	2
_MY	KMY	1	1
_Mz	KMz	2	2
_N4	qN4	2	2
_N7	qN7	2	2
_NK	qNK	2	2
_Nq	qNq	1	1
_NY	KNY	2	2
_Nz	KNz	2	2
_o1	Ko1	4	3
_O6	sA6	4	4
_p_	Kp_	2	2
_p1	Kp1	3	3
_p6	zp6	5	4
_P6	sM6	8	5
_Pq	qPq	2	2
_pY	KpY	1	1
_PY	KPY	2	2
_Pz	KPz	2	2
_Q_	KQ_	3	3
_q1	Kq1	1	1
_Q1	KQ1	2	2
_q7	Kq7	3	2
_Q9	KQ9	1	1
_qK	qqK	1	1
_qq	qqq	2	2
_r	Yr	6	6
_R_	KR_	2	2
_R4	qR4	2	2
_R6	eL6	7	4
_rK	qrK	3	2
_Rq	qRq	1	1
_s	Ys	4	1
_s_	Ks_	2	1
_S1	KS1	4	2
_S6	eh6	3	3
_sK	qsK	3	2
_SK	qSK	1	1
_Sz	KSz	2	2
_t_	Kt_	2	2
_T5	KT5	3	2
_T6	ef6	5	3
_TK	qTK	2	2
_U_	KU_	2	2
_u1	Ku1	3	2
_U1	KU1	3	3
_u4	qu4	3	3
_U5	KU5	2	2
_u6	ex6	4	2
_v	eV	12	5
_v4	qv4	2	2
_V4	qV4	2	2
_v6	eV6	3	3
_V7	qV7	4	2
_vK	qvK	3	3
_VK	qVK	1	1
_W	KW	18	6
_w4	qw4	3	2
_w5	Kw5	2	1
_W5	KW5	1	1
_w6	s26	5	5
_WY	KWY	2	2
_X	KX	21	1
_x1	Kx1	3	3
_X1	KX1	3	3
_x5	Kx5	2	2
_x6	eI6	5	4
_X6	sJ6	4	4
_x7	qx7	2	2
_X7	KX7	4	2
_XY	KXY	2	1
_Xz	KXz	2	2
_y	sE	13	1
_Y6	sz6	4	4
_yK	qyK	2	2
_yY	KyY	1	1
_YY	KYY	2	2
_z	qz	26	24
_z4	qz4	2	2
_Z5	KZ5	1	1
_z6	s_6	4	4
_Z6	eD6	5	1
_zK	qzK	2	2
_ZY	KZY	2	2
_Zz	KZz	2	2
$_1	w_1	5	3
$_5	A_5	2	2
$_6	O_6	2	2
$$	H$	26	4
$$6	z$6	1	1
$$7	w$7	2	2
$$K	O$K	3	3
$0	w0	13	7
$0Y	w0Y	2	2
$11	w11	4	4
$14	O14	2	2
$24	O24	3	3
$2q	O2q	2	2
$3_	w3_	1	1
$31	w31	4	2
$34	O34	1	1
$36	O36	5	4
$37	w37	3	3
$38	j38	5	2
$46	O46	5	5
$54	O54	1	1
$56	O56	5	5
$57	w57	3	3
$67	w67	4	3
$6z	w6z	2	2
$71	w71	4	4
$76	O76	5	5
$77	w77	1	1
$83	w83	2	2
$84	O84	3	1
$85	O85	1	1
$86	O86	7	3
$87	w87	3	3
$9	j9	46	7
$91	w91	4	3
$96	O96	9	2
$97	w97	4	3
$a	Ha	5	5
$a1	wa1	3	3
$a4	Oa4	2	2
$A4	OA4	2	2
$a6	ja6	4	4
$a7	Oa7	2	2
$A7	wA7	3	3
$a9	wa9	2	2
$AK	OAK	1	1
$aq	Oaq	2	2
$AY	wAY	2	2
$b1	wb1	4	3
$B1	wB1	3	3
$B5	wB5	2	1
$b6	Ab6	6	4
$b7	Ob7	2	2
$BK	OBK	2	2
$Bq	OBq	1	1
$bY	wbY	2	2
$BY	wBY	1	1
$bz	wbz	2	2
$Bz	wBz	2	2
$C	OC	9	8
$C4	OC4	2	2
$C5	wC5	2	2
$c6	jc6	5	3
$C7	OC7	4	3
$Cz	wCz	2	2
$D	wD	15	5
$D5	wD5	3	3
$D6	AD6	7	4
$DY	wDY	1	1
$Dz	wDz	2	2
$E	zE	13	5
$e_	we_	3	2
$E1	wE1	3	3
$e6	je6	5	3
$E6	AE6	5	4
$E7	OE7	2	2
$EK	OEK	3	2
$eq	Oeq	2	2
$EY	wEY	1	1
$Ez	wEz	2	2
$f	Of	12	7
$f1	wf1	2	2
$f4	Of4	2	2
$f5	wf5	3	2
$F5	wF5	2	2
$f7	Of7	3	2
$FY	wFY	1	1
$G	OG	15	6
$g_	wg_	2	2
$G1	wG1	1	1
$G5	wG5	1	1
$g9	wg9	2	2
$G9	wG9	3	3
$GY	wGY	2	2
$h	zh	8	7
$h_	wh_	2	2
$h5	wh5	2	2
$hK	OhK	3	2
$HY	wHY	2	2
$hz	whz	2	2
$Hz	wHz	2	2
$i	Hi	6	5
$I1	wI1	3	3
$I5	wI5	2	2
$i6	ji6	2	2
$I6	AI6	5	3
$J	wJ	18	9
$jY	wjY	1	1
$JY	wJY	2	2
$Jz	wJz	3	3
$k6	Ak6	5	5
