target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__$	Cq$	5	5
__5	G85	2	2
__6	Y86	4	3
__8	z88	2	2
__9	sn4	1	1
__H	y7H	7	5
_$7	$lK	2	2
_$H	gt	8	6
_$K	scq	1	1
_$q	Kl6	2	2
_0	rG	15	3
_0_	lf9	2	2
_0$	IJ$	2	2
_01	Zf1	2	2
_06	kX6	3	3
_0K	AwK	1	1
_0q	eDq	2	1
_1	B9	46	7
_1_	Bi_	2	2
_1$	CK$	5	4
_17	$H7	2	1
_19	oi4	1	1
_1H	E4H	5	4
_2	eP	19	11
_2$	NO8	3	3
_26	cD6	2	2
_27	B37	1	1
_28	Pw8	3	3
_2H	iJH	1	1
_2q	e3q	3	3
_3	JY	19	19
_3$	b5$	3	2
_35	di1	2	2
_36	_96	4	2
_37	$77	1	1
_38	d48	5	3
_3H	XfH	3	1
_3K	A7K	3	3
_4	Q7	61	6
_4$	u8$	7	2
_45	Cn1	2	2
_46	OH6	2	1
_48	fH8	6	4
_49	sc4	2	2
_5_	Fr_	2	2
_55	dQ1	2	2
_57	$$7	2	1
_5H	N_H	8	8
_6$	xtH	5	5
_64	vl7	2	2
_65	wF1	1	1
_66	Da8	3	3
_68	Wa$	1	1
_6H	iHH	6	6
_7	k7	26	16
_74	Dr7	2	2
_76	Ye8	5	5
_78	Je$	5	2
_7H	I6H	4	3
_85	JB1	1	1
_86	Do8	4	3
_88	Po$	3	3
_8H	ce	5	2
_96	O$6	1	1
_98	Y$8	3	3
_99	sl4	2	1
_9H	EKH	8	4
_9q	es6	1	1
_A	h5	16	13
_a_	rb9	2	2
_a$	LQ$	4	4
_a1	XC1	2	2
_A5	Qc1	2	2
_a6	qU6	2	1
_A7	$87	2	2
_a8	MQ8	3	3
_A8	rq8	4	4
_aH	blH	3	3
_AK	s$K	1	1
_Az	Jcf	1	1
_b	YR	12	6
_B_	iv9	2	2
_b$	Ly$	3	2
_B$	PR$	3	3
_b1	TP1	2	1
_B4	ev4	3	3
_b7	iv7	3	2
_B7	Qy7	1	1
_b8	_y8	4	4
_B8	OR8	1	1
_b9	FW_	3	2
_bH	GIH	5	3
_BH	GxH	2	2
_BK	_hK	3	3
_c	zd	1	1
_C	MS	10	10
_c$	Jp$	3	3
_c1	Ly1	2	2
_C1	TL1	1	1
_C6	bT6	3	3
_c7	vC7	2	2
_c8	Op8	3	3
_c9	BE_	2	2
_C9	FP_	3	2
_cH	CUH	4	2
_cq	sbq	3	2
_d_	iN9	2	2
_D_	n89	2	2
_d$	Ju$	3	3
_D1	g81	2	2
_D4	u84	2	2
_D5	na1	2	2
_D6	HA6	3	3
_d7	vS7	1	1
_D7	t_7	2	2
_D8	r18	3	3
_d9	BN_	2	2
_dK	qCK	1	1
_E_	nw9	2	1
_E$	T0$	3	3
_e1	Ju1	2	2
_E1	TD1	2	2
_e6	KQ6	3	1
_e8	Mn8	3	3
_e9	Bm_	1	1
_E9	Fw_	3	2
_eH	urH	4	4
_EH	vkH	3	3
_eK	KQK	3	3
_EK	f2K	4	2
_Eq	tWq	1	1
_F	Ap	11	4
_f_	ia_	1	1
_F$	WC$	5	5
_F1	Lv1	2	2
_f4	xs7	1	1
_f5	pl1	2	2
_f6	z76	3	3
_f8	aK8	3	2
_f9	Fa4	2	1
_F9	BT_	2	2
_fK	t8K	3	3
_FK	KIK	2	2
_g	fF	10	5
_g_	iV9	2	2
_G_	c59	2	2
_G$	yD8	3	3
_g4	aV4	2	2
_G6	pw6	1	1
_g7	xI7	2	2
_G7	BO7	1	1
_g9	BV_	2	1
_gH	MpH	3	2
_GH	nLH	3	3
_GK	AMK	3	3
_h	Ny	16	4
_h$	Tv$	3	3
_H$	xoH	3	2
_h1	Tw1	2	2
_H1	rp9	3	3
