target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__1	O_1	4	2
__4	Y_4	1	1
__6	K_6	8	1
_$7	O$7	3	2
_$8	Y$8	4	4
_$A	e2A	2	2
_$q	Y$q	2	2
_$Y	e2Y	2	2
_04	YD4	2	2
_05	e05	2	2
_06	YD6	3	3
_0K	YDK	1	1
_0Y	e0Y	2	2
_0z	e0z	2	2
_11	O11	2	2
_14	Y14	2	2
_16	K16	9	2
_1A	e8A	1	1
_1Y	e8Y	1	1
_1z	e8z	2	2
_28	Y28	4	4
_2A	ewA	2	2
_2Y	ewY	2	2
_31	O31	2	2
_37	O37	4	4
_3K	Y3K	1	1
_3z	e5z	2	2
_46	K46	5	5
_4A	eqA	2	2
_4Y	eqY	2	2
_4z	eqz	2	2
_51	O51	4	3
_56	K56	7	3
_57	O57	4	2
_5A	eKA	1	1
_5Y	eKY	2	2
_5z	eKz	2	2
_6_	ee9	1	1
_61	O61	3	3
_64	Y64	2	2
_66	ee	10	2
_67	O67	4	4
_6Y	eez	3	2
_7Y	e1Y	3	3
_7z	e1z	3	2
_86	K86	4	4
_8A	e6A	2	2
_8Y	e6Y	2	2
_8z	e6z	2	2
_94	Y94	3	2
_96	K96	3	3
_97	O97	3	3
_9A	e3A	1	1
_9K	Y9K	2	2
_a	to	10	4
_A1	OA1	5	2
_A6	YA6	6	5
_aK	KaK	3	3
_aY	eoY	1	1
_Az	eYz	2	2
_b	qb	6	6
_b_	eC_	2	2
_b5	eC5	2	2
_B5	em5	2	2
_b7	Yb7	2	2
_Bq	YBq	2	2
_c	Kc	7	6
_c_	ed_	1	1
_C_	eS_	2	2
_C1	OC1	3	3
_c4	Yc4	2	2
_C4	YC4	2	2
_C6	zC6	4	1
_C7	YC7	2	2
_c9	ed9	2	2
_d	Kd	9	4
_D	z0	13	13
_D4	Y04	2	2
_d5	eQ5	3	2
_d8	Od8	4	2
_DY	eWY	2	2
_e	et	7	6
_E	zE	5	5
_e4	Ye4	1	1
_E4	YE4	2	2
_E8	YE8	5	2
_eY	etY	2	2
_EY	eNY	2	2
_ez	etz	3	2
_F7	YF7	3	2
_fY	eZY	2	2
_FY	epY	2	2
_g1	Og1	2	2
_g5	eF5	2	2
_G5	ef5	3	3
_G6	YG6	6	6
_g8	Og8	2	2
_gY	eFY	1	1
_GY	efY	2	2
_h	Kh	14	4
_H	qH	25	3
_h1	Oh1	1	1
_H7	OH7	2	1
_hY	eLY	2	2
_HY	ejY	2	2
_I	qI	11	6
_i1	Oi1	3	3
_I1	OI1	3	2
_I6	zI6	4	4
_iz	enz	2	2
_J	qJ	14	10
_j4	Yj4	3	3
_J5	eH5	2	1
_J6	YJ6	5	5
_j8	Yj8	3	3
_J8	YJ8	5	1
_jK	YjK	2	2
_jY	e$Y	2	2
_JY	eHY	1	1
_k	Yk	7	5
_k_	ev_	2	2
_K1	OK1	2	2
_k5	ev5	2	2
_K7	OK7	1	1
_k8	Yk8	4	3
_KA	e4A	2	2
_kY	evY	2	2
_KY	e4Y	2	2
_kz	evz	2	2
_Kz	e4z	2	2
_L4	YL4	2	2
_L6	YL6	6	3
_l8	Ol8	3	3
_l9	ec9	2	2
_M	KM	16	6
_m1	Om1	3	3
_m5	eu5	2	2
_M6	YM6	7	7
_mK	YmK	1	1
_MY	eXY	2	2
_n	Kn	4	4
_n_	el_	2	2
_N_	eV_	3	3
_n1	On1	3	3
_N1	ON1	4	3
_n8	On8	2	2
_nY	elY	2	2
_NY	eVY	3	3
_nz	elz	1	1
_Nz	eVz	1	1
_o	tr	9	8
_O	KO	31	3
_O2	eA2	2	2
_O4	YO4	3	2
_o6	zo6	6	3
_O7	OO7	3	3
_OA	eAA	2	2
_oK	KoK	1	1
_OY	eAY	2	2
_p	zp	9	9
_p1	Op1	3	3
_p4	Yp4	2	2
_P6	YP6	6	1
_P7	OP7	5	3
_pY	eBY	1	1
_PY	eMY	1	1
_Pz	eMz	2	2
_Q_	eU_	3	2
_q1	Oq1	4	4
_Q1	OQ1	3	3
_Q5	eU5	2	2
_q6	Kq6	7	4
_Q6	zQ6	6	2
