target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__	q_	43	4
__1	x91	3	3
__6	o96	5	5
__7	$m1	3	3
__A	XKA	1	1
__Y	e5Y	2	1
_$	e2	28	3
_$4	ku4	2	2
_$6	t26	2	2
_$8	c28	3	3
_$A	eYA	3	3
_$K	U2K	2	2
_$Y	UOY	2	2
_04	Lf4	1	1
_05	yP5	1	1
_0K	ZWK	2	2
_1_	Re9	2	2
_11	B81	3	1
_17	t87	1	1
_18	w48	4	3
_1K	R1K	2	2
_1Y	$KY	2	2
_26	aO6	6	3
_2A	e_A	2	2
_2K	SQ4	2	2
_2Y	rYY	2	2
_31	x51	5	2
_36	i56	6	1
_37	oK7	2	2
_38	t48	4	4
_3A	XqA	2	2
_3K	R3K	2	2
_3Y	LJz	2	2
_3z	XZY	2	2
_41	xq1	4	4
_4A	M8A	1	1
_4K	R4K	2	2
_4Y	GqY	2	2
_51	xK1	2	2
_54	KK4	1	1
_57	r47	3	3
_5A	M7A	2	2
_5Y	BGz	1	1
_5z	p0Y	2	2
_68	r38	6	3
_6A	DaY	1	1
_6Y	b8Y	1	1
_7	q7	75	72
_7_	R6_	2	2
_74	J14	3	2
_77	Gr1	2	2
_78	I58	6	5
_7A	MeY	2	2
_7q	J1q	2	2
_7Y	f1Y	2	2
_7z	R5z	2	2
_84	J64	2	2
_87	A67	2	2
_88	rt6	4	4
_8Y	T4Y	1	1
_96	w96	4	4
_97	l57	2	2
_98	a58	6	2
_9A	X4A	1	1
_9K	Xx4	2	2
_9Y	$vz	1	1
_a	io	4	3
_A_	R__	2	2
_A1	DB7	2	2
_A4	aT4	2	2
_a6	io6	2	2
_A6	oY6	8	3
_A7	kY7	1	1
_a8	mo8	2	2
_AA	z9A	1	1
_AK	wwK	2	2
_aY	knY	1	1
_b_	ZR_	2	2
_b1	yC1	3	1
_b4	XU4	1	1
_B5	hx5	3	2
_b6	uL6	1	1
_B7	zm7	1	1
_b8	ch8	4	2
_bq	JCq	2	2
_bY	uhY	1	1
_c_	pd_	2	2
_C1	LS1	3	1
_C4	CYK	1	1
_c5	SU5	2	2
_cK	_QK	1	1
_cY	VgY	1	1
_CY	uLY	2	2
_d	cQ	4	3
_d1	RB1	4	4
_d4	aU4	3	3
_d5	Rg5	2	1
_D6	oW6	2	2
_d8	gQ8	3	1
_dK	zUK	1	1
_dY	NFY	1	1
_DY	HWY	2	2
_Dz	CDz	2	2
_e	Ke	3	3
_E_	Rk_	1	1
_E1	LN1	3	3
_E5	hk5	3	2
_e6	Je6	7	3
_e7	Jt7	1	1
_EK	MTK	2	2
_eY	foY	1	1
_ez	xsz	2	2
_Ez	pTz	2	2
_f	lf	8	1
_F1	TU1	4	3
_F5	hm5	2	2
_F7	Xp7	1	1
_f8	nf8	2	2
_F8	yF8	4	2
_fK	$ZK	2	2
_Fq	Jpq	2	2
_fY	FZz	1	1
_FY	xuY	1	1
_g	dF	10	3
_g1	hQ1	4	2
_G1	LZ1	3	2
_G6	aZ6	5	5
_g7	JF7	3	2
_G7	$Z7	1	1
_g8	ax8	4	2
_GK	f0K	3	2
_gq	JFq	2	2
_gY	RmY	1	1
_GY	zDz	2	2
_H	KH	15	13
_h_	NE_	2	1
_h6	NS6	6	5
_H6	r$6	4	4
_h7	wL7	2	2
_h8	zx8	4	3
_H8	cj8	5	1
_HA	eOA	2	2
_hK	QB4	2	2
_hY	pNY	2	2
_HY	QMY	2	2
_Hz	Y4Y	2	2
_I_	ZS_	1	1
_i1	RU1	3	2
_I1	yb1	5	3
_i4	Ri4	2	2
_I4	eu4	3	2
_i6	rn6	5	3
_I6	iS6	2	2
_I7	wb7	4	2
_I8	qF8	4	3
_i9	Rc9	2	2
_iK	tcK	1	1
_iY	kdY	2	1
_iz	Jnz	2	2
_j	a$	13	13
_J	$J	8	8
_j1	L$1	3	3
_J1	LH1	3	3
_J6	yH6	9	6
_j7	M$7	2	2
_jA	eAA	3	3
_JA	swA	1	1
_jK	i$K	2	2
_jY	UwY	3	3
_JY	t6Y	2	2
_k	sk	15	2
